,5d6e3252dfe6d10001dbe508
PlayerDetails,5d6e3252dfe6d10001dbe508
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 19:34:27 GMT+0100 (czas środkowoeuropejski standardowy)
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.618
Pond3Fish1_PondTime,6.891
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.104
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.975
Pond3Fish2_PondTime,14.71
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1185.285
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.777
Pond3Fish3_PondTime,23.09
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1176.905
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.144
Pond3Fish4_PondTime,32.125
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1167.87
Pond3_Type,RT
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.334
Pond3Fish5_PondTime,41.992
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,60
Pond3Fish5_TimeLeft,1158.003
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.02
Pond3Fish6_PondTime,52.924
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,70
Pond3Fish6_TimeLeft,1147.071
Pond3_Type,RT
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.921
Pond3Fish7_PondTime,65.29
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,80
Pond3Fish7_TimeLeft,1134.705
Pond3_GiveUpTime,0.528
Pond3_PondTime,79.435
Pond3_PondOutcome,80
Pond3_TotalOutcome,80
Pond3_TimeLeft,1120.56
Pond10IntroTime,18.397129650693387
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
