,5d39ec60061e950001f42dbd
PlayerDetails,5d39ec60061e950001f42dbd
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 12:12:17 GMT-0500 (heure normale de l’Est nord-américain)
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,6.633
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,0
Pond5Fish1_TimeLeft,1193.349
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,14.142
Pond5Fish2_PondOutcome,0
Pond5Fish2_TotalOutcome,0
Pond5Fish2_TimeLeft,1185.839
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.278
Pond5Fish3_PondTime,21.996
Pond5Fish3_PondOutcome,10
Pond5Fish3_TotalOutcome,10
Pond5Fish3_TimeLeft,1177.986
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.362
Pond5Fish4_PondTime,30.375
Pond5Fish4_PondOutcome,20
Pond5Fish4_TotalOutcome,20
Pond5Fish4_TimeLeft,1169.607
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.144
Pond5Fish5_PondTime,39.458
Pond5Fish5_PondOutcome,30
Pond5Fish5_TotalOutcome,30
Pond5Fish5_TimeLeft,1160.524
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.402
Pond5Fish6_PondTime,49.37
Pond5Fish6_PondOutcome,40
Pond5Fish6_TotalOutcome,40
Pond5Fish6_TimeLeft,1150.612
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.505
Pond5Fish7_PondTime,60.345
Pond5Fish7_PondOutcome,50
Pond5Fish7_TotalOutcome,50
Pond5Fish7_TimeLeft,1139.637
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.922
Pond5Fish8_PondTime,72.766
Pond5Fish8_PondOutcome,60
Pond5Fish8_TotalOutcome,60
Pond5Fish8_TimeLeft,1127.215
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,2.046
Pond5Fish9_PondTime,87.228
