,5c4a0edb10903d0001487d13
Pond8_PondTime,102.373
Pond8_PondOutcome,74
Pond8_TotalOutcome,940
Pond8_TimeLeft,181.818
Pond1IntroTime,18.345527125056833
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.342
Pond1Fish1_PondTime,27.264
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,950
Pond1Fish1_TimeLeft,154.554
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.357
Pond1Fish2_PondTime,33.929
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,960
Pond1Fish2_TimeLeft,147.889
Pond1_Type,RT
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.223
Pond1Fish3_PondTime,40.959
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,980
Pond1Fish3_TimeLeft,140.859
Pond1_Type,RT
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.4
Pond1Fish4_PondTime,48.343
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,990
Pond1Fish4_TimeLeft,133.475
Pond1_Type,RT
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.047
Pond1Fish5_PondTime,56.219
Pond1Fish5_PondOutcome,70
Pond1Fish5_TotalOutcome,1010
Pond1Fish5_TimeLeft,125.599
Pond1_Type,RT
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,64.683
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,1010
Pond1Fish6_TimeLeft,117.135
Pond1_Type,RT
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.42
Pond1Fish7_PondTime,73.732
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,1020
Pond1Fish7_TimeLeft,108.086
Pond1_Type,RT
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,1.153
Pond1Fish8_PondTime,83.637
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,1030
Pond1Fish8_TimeLeft,98.181
Pond1_Type,RT
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,-1
Pond1Fish9_PondTime,94.64
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,1030
Pond1Fish9_TimeLeft,87.178
Pond1_Type,RT
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.928
Pond1Fish10_PondTime,107.04
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,1040
Pond1Fish10_TimeLeft,74.778
Pond1_Type,RT
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.224
Pond1Fish11_PondTime,121.444
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,1050
Pond1Fish11_TimeLeft,60.374
Pond1_Type,RT
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,12
Pond1Fish12_CatchTime,1.21
Pond1Fish12_PondTime,138.865
Pond1Fish12_PondOutcome,120
Pond1Fish12_TotalOutcome,1060
Pond1Fish12_TimeLeft,42.953
Pond1_GiveUpTime,0.845
Pond1_PondTime,139.53
Pond1_PondOutcome,120
Pond1_TotalOutcome,1060
Pond1_TimeLeft,42.288
Pond9IntroTime,12.136923398356885
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.275
Pond9Fish1_PondTime,21.349
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,1072
Pond9Fish1_TimeLeft,20.939
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.83
Pond9Fish2_PondTime,28.387
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,1084
Pond9Fish2_TimeLeft,13.901
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.958
Pond9Fish3_PondTime,35.784
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,1096
Pond9Fish3_TimeLeft,6.504
