,5d79156e0c89aa0001026dc8
Pond3_PondTime,76.818
Pond3_PondOutcome,60
Pond3_TotalOutcome,160
Pond3_TimeLeft,1000.956
Pond9IntroTime,12.358108267653733
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.927
Pond9Fish1_PondTime,21.693
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,172
Pond9Fish1_TimeLeft,979.263
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.112
Pond9Fish2_PondTime,28.727
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,184
Pond9Fish2_TimeLeft,972.228
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.036
Pond9Fish3_PondTime,36.142
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,196
Pond9Fish3_TimeLeft,964.814
Pond9_Type,RD
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.918
Pond9Fish4_PondTime,43.999
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,208
Pond9Fish4_TimeLeft,956.955
Pond9_Type,RD
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.169
Pond9Fish5_PondTime,52.412
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,220
Pond9Fish5_TimeLeft,948.543
Pond9_Type,RD
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.453
Pond9Fish6_PondTime,61.484
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,232
Pond9Fish6_TimeLeft,939.471
Pond9_Type,RD
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.929
Pond9Fish7_PondTime,71.434
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,244
Pond9Fish7_TimeLeft,929.521
Pond9_Type,RD
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.031
Pond9Fish8_PondTime,82.412
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,256
Pond9Fish8_TimeLeft,918.544
Pond9_Type,RD
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.018
Pond9Fish9_PondTime,94.835
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,268
Pond9Fish9_TimeLeft,906.121
Pond9_GiveUpTime,2.926
Pond9_PondTime,97.371
Pond9_PondOutcome,108
Pond9_TotalOutcome,268
Pond9_TimeLeft,903.585
Pond4IntroTime,13.422392182983458
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.254
Pond4Fish1_PondTime,23.073
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,280
Pond4Fish1_TimeLeft,880.512
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.858
Pond4Fish2_PondTime,30.522
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,292
Pond4Fish2_TimeLeft,873.063
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.16
Pond4Fish3_PondTime,38.407
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,304
Pond4Fish3_TimeLeft,865.176
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.094
Pond4Fish4_PondTime,46.845
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,316
Pond4Fish4_TimeLeft,856.738
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.233
Pond4Fish5_PondTime,55.943
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,328
Pond4Fish5_TimeLeft,847.642
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.985
Pond4Fish6_PondTime,65.873
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,340
Pond4Fish6_TimeLeft,837.712
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.127
Pond4Fish7_PondTime,76.845
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,352
Pond4Fish7_TimeLeft,826.74
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.081
Pond4Fish8_PondTime,89.261
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,364
Pond4Fish8_TimeLeft,814.323
Pond4_Type,RD
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.377
Pond4Fish9_PondTime,103.673
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,376
Pond4Fish9_TimeLeft,799.912
Pond4_Type,RD
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,1.426
Pond4Fish10_PondTime,121.086
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,388
Pond4Fish10_TimeLeft,782.499
Pond4_GiveUpTime,1.22
Pond4_PondTime,122.327
Pond4_PondOutcome,120
Pond4_TotalOutcome,388
Pond4_TimeLeft,781.258
Pond11IntroTime,17.551564970053732
Pond11_Type,RT
Pond11Fish1_FishType,golden
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.381
Pond11Fish1_PondTime,26.555
Pond11Fish1_PondOutcome,20
Pond11Fish1_TotalOutcome,408
Pond11Fish1_TimeLeft,754.703
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.463
Pond11Fish2_PondTime,33.256
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,418
Pond11Fish2_TimeLeft,748.002
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.619
Pond11Fish3_PondTime,40.299
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,428
Pond11Fish3_TimeLeft,740.959
Pond11_Type,RT
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.16
Pond11Fish4_PondTime,47.74
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,438
Pond11Fish4_TimeLeft,733.512
Pond11_Type,RT
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.317
Pond11Fish5_PondTime,55.602
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,448
Pond11Fish5_TimeLeft,725.655
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.452
Pond11Fish6_PondTime,63.996
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,458
Pond11Fish6_TimeLeft,717.261
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.092
Pond11Fish7_PondTime,73.091
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,468
Pond11Fish7_TimeLeft,708.167
Pond11_Type,RT
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.069
Pond11Fish8_PondTime,83.011
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,478
Pond11Fish8_TimeLeft,698.247
Pond11_Type,RT
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.896
Pond11Fish9_PondTime,94.034
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,488
Pond11Fish9_TimeLeft,687.223
Pond11_Type,RT
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1.618
Pond11Fish10_PondTime,106.452
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,498
Pond11Fish10_TimeLeft,674.802
Pond11_Type,RT
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.103
Pond11Fish11_PondTime,120.865
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,508
Pond11Fish11_TimeLeft,660.393
Pond11_Type,RT
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,0.855
Pond11Fish12_PondTime,138.307
Pond11Fish12_PondOutcome,130
Pond11Fish12_TotalOutcome,518
Pond11Fish12_TimeLeft,642.95
Pond11_Type,RT
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,15
Pond11Fish13_CatchTime,1.104
Pond11Fish13_PondTime,160.755
Pond11Fish13_PondOutcome,140
Pond11Fish13_TotalOutcome,528
Pond11Fish13_TimeLeft,620.502
Pond11_Type,RT
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,20
Pond11Fish14_CatchTime,0.855
Pond11Fish14_PondTime,193.163
Pond11Fish14_PondOutcome,150
Pond11Fish14_TotalOutcome,538
Pond11Fish14_TimeLeft,588.095
Pond11_Type,RT
Pond11Fish15_FishType,purple
Pond11Fish15_FishLatency,30
Pond11Fish15_CatchTime,1.783
Pond11Fish15_PondTime,255.676
Pond11Fish15_PondOutcome,160
Pond11Fish15_TotalOutcome,548
Pond11Fish15_TimeLeft,525.581
Pond11_Type,RT
Pond11Fish16_FishType,purple
Pond11Fish16_FishLatency,60
Pond11Fish16_CatchTime,1.743
Pond11Fish16_PondTime,258.116
Pond11Fish16_PondOutcome,170
Pond11Fish16_TotalOutcome,558
Pond11Fish16_TimeLeft,523.142
Pond11_GiveUpTime,113.551
Pond11_PondTime,371.962
Pond11_PondOutcome,170
Pond11_TotalOutcome,558
Pond11_TimeLeft,409.296
Pond12IntroTime,18.56499349232763
Pond12_Type,RD
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.194
Pond12Fish1_PondTime,27.315
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,570
Pond12Fish1_TimeLeft,381.98
Pond12_Type,RD
Pond12Fish2_FishType,gray
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.336
Pond12Fish2_PondTime,33.743
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,572
Pond12Fish2_TimeLeft,375.549
Pond12_Type,RD
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.177
Pond12Fish3_PondTime,40.434
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,584
Pond12Fish3_TimeLeft,368.862
Pond12_Type,RD
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.053
Pond12Fish4_PondTime,47.474
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,596
Pond12Fish4_TimeLeft,361.821
Pond12_Type,RD
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.993
Pond12Fish5_PondTime,54.895
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,608
Pond12Fish5_TimeLeft,354.401
Pond12_Type,RD
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,1.496
Pond12Fish6_PondTime,62.756
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,620
Pond12Fish6_TimeLeft,346.54
Pond12_Type,RD
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.171
Pond12Fish7_PondTime,71.22
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,632
Pond12Fish7_TimeLeft,338.075
Pond12_Type,RD
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,1.343
Pond12Fish8_PondTime,80.308
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,644
Pond12Fish8_TimeLeft,328.988
Pond12_Type,RD
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.205
Pond12Fish9_PondTime,90.252
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,656
Pond12Fish9_TimeLeft,319.044
Pond12_Type,RD
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,1.213
Pond12Fish10_PondTime,101.239
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,668
Pond12Fish10_TimeLeft,308.056
Pond12_Type,RD
Pond12Fish11_FishType,gray
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,1.329
Pond12Fish11_PondTime,113.662
Pond12Fish11_PondOutcome,112
Pond12Fish11_TotalOutcome,670
Pond12Fish11_TimeLeft,295.634
Pond12_Type,RD
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,1.189
Pond12Fish12_PondTime,128.057
Pond12Fish12_PondOutcome,124
Pond12Fish12_TotalOutcome,682
Pond12Fish12_TimeLeft,281.239
Pond12_Type,RD
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,12
Pond12Fish13_CatchTime,0.964
Pond12Fish13_PondTime,145.487
Pond12Fish13_PondOutcome,136
Pond12Fish13_TotalOutcome,694
Pond12Fish13_TimeLeft,263.808
Pond12_Type,RD
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,15
Pond12Fish14_CatchTime,0.986
Pond12Fish14_PondTime,167.918
Pond12Fish14_PondOutcome,148
Pond12Fish14_TotalOutcome,706
Pond12Fish14_TimeLeft,241.378
Pond12_Type,RD
Pond12Fish15_FishType,blue
Pond12Fish15_FishLatency,20
Pond12Fish15_CatchTime,1.312
Pond12Fish15_PondTime,200.401
Pond12Fish15_PondOutcome,160
Pond12Fish15_TotalOutcome,718
Pond12Fish15_TimeLeft,208.894
Pond12_GiveUpTime,4.447
Pond12_PondTime,204.754
Pond12_PondOutcome,160
Pond12_TotalOutcome,718
Pond12_TimeLeft,204.542
Pond1IntroTime,15.944483655039221
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.436
Pond1Fish1_PondTime,24.956
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,728
Pond1Fish1_TimeLeft,179.586
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.334
Pond1Fish2_PondTime,31.637
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,738
Pond1Fish2_TimeLeft,172.904
Pond1_Type,RT
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.517
Pond1Fish3_PondTime,38.67
