,59b555702a78fd00010b86d4
Pond9_GiveUpTime,0.688
Pond9_PondTime,88.631
Pond9_PondOutcome,74
Pond9_TotalOutcome,184
Pond9_TimeLeft,1037.188
Pond3IntroTime,16.0685718129389
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.811
Pond3Fish1_PondTime,25.963
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,194
Pond3Fish1_TimeLeft,1011.225
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.957
Pond3Fish2_PondTime,33.781
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,204
Pond3Fish2_TimeLeft,1003.407
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.525
Pond3Fish3_PondTime,42.141
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,214
Pond3Fish3_TimeLeft,995.047
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.905
Pond3Fish4_PondTime,51.166
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,224
Pond3Fish4_TimeLeft,986.022
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.898
Pond3Fish5_PondTime,61.024
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,234
Pond3Fish5_TimeLeft,976.164
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.907
Pond3Fish6_PondTime,71.958
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,244
Pond3Fish6_TimeLeft,965.23
Pond3_Type,RT
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.953
Pond3Fish7_PondTime,84.318
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,254
Pond3Fish7_TimeLeft,952.87
Pond3_Type,RT
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.184
Pond3Fish8_PondTime,98.682
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,264
Pond3Fish8_TimeLeft,938.506
Pond3_GiveUpTime,0.504
Pond3_PondTime,116.153
Pond3_PondOutcome,80
Pond3_TotalOutcome,264
Pond3_TimeLeft,921.035
Pond7IntroTime,13.422518123406917
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.027
Pond7Fish1_PondTime,22.055
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,274
Pond7Fish1_TimeLeft,898.979
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.977
Pond7Fish2_PondTime,28.414
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,284
Pond7Fish2_TimeLeft,892.621
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.049
Pond7Fish3_PondTime,35.056
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,294
Pond7Fish3_TimeLeft,885.979
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.066
Pond7Fish4_PondTime,42.032
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,304
Pond7Fish4_TimeLeft,879.003
Pond7_Type,RT
Pond7Fish5_FishType,golden
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.105
Pond7Fish5_PondTime,49.391
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,324
Pond7Fish5_TimeLeft,871.644
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.971
Pond7Fish6_PondTime,57.208
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,334
Pond7Fish6_TimeLeft,863.827
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.962
Pond7Fish7_PondTime,65.566
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,344
Pond7Fish7_TimeLeft,855.469
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.207
Pond7Fish8_PondTime,74.594
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,354
Pond7Fish8_TimeLeft,846.441
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.959
Pond7Fish9_PondTime,84.45
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,364
Pond7Fish9_TimeLeft,836.585
Pond7_Type,RT
Pond7Fish10_FishType,golden
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,-1
Pond7Fish10_PondTime,95.437
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,364
Pond7Fish10_TimeLeft,825.598
Pond7_Type,RT
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.738
Pond7Fish11_PondTime,107.798
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,374
Pond7Fish11_TimeLeft,813.237
Pond7_Type,RT
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,0.816
Pond7Fish12_PondTime,122.162
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,384
Pond7Fish12_TimeLeft,798.873
Pond7_GiveUpTime,0.637
Pond7_PondTime,139.512
Pond7_PondOutcome,120
Pond7_TotalOutcome,384
Pond7_TimeLeft,781.523
Pond2IntroTime,13.815759096760303
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,22.761
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,396
Pond2Fish1_TimeLeft,758.762
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,29.455
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,396
Pond2Fish2_TimeLeft,752.068
Pond2_Type,RD
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.915
Pond2Fish3_PondTime,36.43
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,408
Pond2Fish3_TimeLeft,745.093
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.922
Pond2Fish4_PondTime,43.792
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,420
Pond2Fish4_TimeLeft,737.731
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.691
Pond2Fish5_PondTime,51.607
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,432
Pond2Fish5_TimeLeft,729.916
Pond2_Type,RD
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.179
Pond2Fish6_PondTime,59.969
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,444
Pond2Fish6_TimeLeft,721.554
Pond2_Type,RD
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,-1
Pond2Fish7_PondTime,69.046
Pond2Fish7_PondOutcome,60
Pond2Fish7_TotalOutcome,444
Pond2Fish7_TimeLeft,712.477
Pond2_Type,RD
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.995
Pond2Fish8_PondTime,78.904
Pond2Fish8_PondOutcome,72
Pond2Fish8_TotalOutcome,456
Pond2Fish8_TimeLeft,702.619
Pond2_Type,RD
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.004
Pond2Fish9_PondTime,89.839
Pond2Fish9_PondOutcome,84
Pond2Fish9_TotalOutcome,468
Pond2Fish9_TimeLeft,691.684
Pond2_Type,RD
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,-1
Pond2Fish10_PondTime,102.251
Pond2Fish10_PondOutcome,84
Pond2Fish10_TotalOutcome,468
Pond2Fish10_TimeLeft,679.272
Pond2_Type,RD
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,-1
Pond2Fish11_PondTime,116.667
Pond2Fish11_PondOutcome,84
Pond2Fish11_TotalOutcome,468
Pond2Fish11_TimeLeft,664.856
Pond2_Type,RD
Pond2Fish12_FishType,gray
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,1.036
Pond2Fish12_PondTime,134.03
Pond2Fish12_PondOutcome,86
Pond2Fish12_TotalOutcome,470
Pond2Fish12_TimeLeft,647.493
Pond2_Type,RD
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,-1
Pond2Fish13_PondTime,156.446
Pond2Fish13_PondOutcome,86
Pond2Fish13_TotalOutcome,470
Pond2Fish13_TimeLeft,625.077
