,5dc4177635fd0c2de2b2194a
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.684
Pond5Fish1_PondTime,27.239
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,908
Pond5Fish1_TimeLeft,189.97
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,2.042
Pond5Fish2_PondTime,34.711
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,918
Pond5Fish2_TimeLeft,182.498
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.633
Pond5Fish3_PondTime,42.561
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,928
Pond5Fish3_TimeLeft,174.648
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.799
Pond5Fish4_PondTime,50.964
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,938
Pond5Fish4_TimeLeft,166.245
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.678
Pond5Fish5_PondTime,60.034
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,948
Pond5Fish5_TimeLeft,157.175
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.107
Pond5Fish6_PondTime,69.949
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,958
Pond5Fish6_TimeLeft,147.26
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.653
Pond5Fish7_PondTime,80.918
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,968
Pond5Fish7_TimeLeft,136.291
Pond5_GiveUpTime,0.419
Pond5_PondTime,92.755
Pond5_PondOutcome,70
Pond5_TotalOutcome,968
Pond5_TimeLeft,124.454
Pond8IntroTime,15.015223023947328
Pond8_Type,RD
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.651
Pond8Fish1_PondTime,24.942
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,980
Pond8Fish1_TimeLeft,99.511
Pond8_Type,RD
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,0.948
Pond8Fish2_PondTime,32.789
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,992
Pond8Fish2_TimeLeft,91.665
Pond8_Type,RD
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.578
Pond8Fish3_PondTime,41.225
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,1004
Pond8Fish3_TimeLeft,83.228
Pond8_Type,RD
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.65
Pond8Fish4_PondTime,50.277
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,1016
Pond8Fish4_TimeLeft,74.177
Pond8_Type,RD
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.542
Pond8Fish5_PondTime,60.181
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,1028
Pond8Fish5_TimeLeft,64.273
Pond8_Type,RD
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.833
Pond8Fish6_PondTime,71.153
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,1040
Pond8Fish6_TimeLeft,53.301
Pond8_Type,RD
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,0.741
Pond8Fish7_PondTime,83.559
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,1052
Pond8Fish7_TimeLeft,40.895
Pond8_GiveUpTime,0.661
Pond8_PondTime,98.079
Pond8_PondOutcome,84
Pond8_TotalOutcome,1052
Pond8_TimeLeft,26.375
Pond12IntroTime,18.6053980817087
