,taly3
PlayerDetails,taly3
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 14:50:45 GMT+0200 (Israel Standard Time)
Pond8_Type,RD
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.9
Pond8Fish1_PondTime,6.88
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1193.117
Pond8_GiveUpTime,0.65
Pond8_PondTime,14.811
Pond8_PondOutcome,12
Pond8_TotalOutcome,12
Pond8_TimeLeft,1185.186
Pond5IntroTime,17.484430440235883
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.079
Pond5Fish1_PondTime,27.015
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,22
Pond5Fish1_TimeLeft,1158.171
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.408
Pond5Fish2_PondTime,34.383
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,32
Pond5Fish2_TimeLeft,1150.803
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.501
Pond5Fish3_PondTime,42.204
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,42
Pond5Fish3_TimeLeft,1142.982
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,-1
Pond5Fish4_PondTime,50.631
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,42
Pond5Fish4_TimeLeft,1134.555
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,-1
Pond5Fish5_PondTime,59.73
Pond5Fish5_PondOutcome,30
Pond5Fish5_TotalOutcome,42
Pond5Fish5_TimeLeft,1125.456
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,-1
Pond5Fish6_PondTime,69.662
Pond5Fish6_PondOutcome,30
Pond5Fish6_TotalOutcome,42
Pond5Fish6_TimeLeft,1115.524
Pond5_Type,RT
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,-1
Pond5Fish7_PondTime,80.68
Pond5Fish7_PondOutcome,30
Pond5Fish7_TotalOutcome,42
Pond5Fish7_TimeLeft,1104.506
Pond5_GiveUpTime,47.846
Pond5_PondTime,90.159
Pond5_PondOutcome,30
Pond5_TotalOutcome,42
Pond5_TimeLeft,1095.027
Pond2IntroTime,11.730052819475532
