,5d6ed168d7d0900001831af8
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,934
Pond11Fish8_TimeLeft,116.32
Pond11_Type,RT
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.984
Pond11Fish9_PondTime,94.233
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,944
Pond11Fish9_TimeLeft,105.385
Pond11_Type,RT
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,0.75
Pond11Fish10_PondTime,106.595
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,954
Pond11Fish10_TimeLeft,93.023
Pond11_Type,RT
Pond11Fish11_FishType,golden
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,0.635
Pond11Fish11_PondTime,120.958
Pond11Fish11_PondOutcome,140
Pond11Fish11_TotalOutcome,974
Pond11Fish11_TimeLeft,78.66
Pond11_Type,RT
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,0.991
Pond11Fish12_PondTime,138.322
Pond11Fish12_PondOutcome,150
Pond11Fish12_TotalOutcome,984
Pond11Fish12_TimeLeft,61.296
Pond11_Type,RT
Pond11Fish13_FishType,golden
Pond11Fish13_FishLatency,15
Pond11Fish13_CatchTime,0.899
Pond11Fish13_PondTime,160.685
Pond11Fish13_PondOutcome,170
Pond11Fish13_TotalOutcome,1004
Pond11Fish13_TimeLeft,38.933
Pond11_GiveUpTime,0.288
Pond11_PondTime,193.064
Pond11_PondOutcome,170
Pond11_TotalOutcome,1004
Pond11_TimeLeft,6.554
Pond7IntroTime,12.106438227929175
