,5d433248638dca0015da9d7b
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.093
Pond6Fish12_PondTime,117.274
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,194
Pond6Fish12_TimeLeft,1024.785
Pond6_Type,RD
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,0.887
Pond6Fish13_PondTime,131.639
Pond6Fish13_PondOutcome,156
Pond6Fish13_TotalOutcome,206
Pond6Fish13_TimeLeft,1010.42
Pond6_Type,RD
Pond6Fish14_FishType,blue
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,1.102
Pond6Fish14_PondTime,149.005
Pond6Fish14_PondOutcome,168
Pond6Fish14_TotalOutcome,218
Pond6Fish14_TimeLeft,993.054
Pond6_Type,RD
Pond6Fish15_FishType,gray
Pond6Fish15_FishLatency,15
Pond6Fish15_CatchTime,-1
Pond6Fish15_PondTime,171.434
Pond6Fish15_PondOutcome,168
Pond6Fish15_TotalOutcome,218
Pond6Fish15_TimeLeft,970.625
Pond6_GiveUpTime,43.719
Pond6_PondTime,192.439
Pond6_PondOutcome,168
Pond6_TotalOutcome,218
Pond6_TimeLeft,949.62
Pond1IntroTime,12.602438540197909
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.963
Pond1Fish1_PondTime,21.508
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,228
Pond1Fish1_TimeLeft,928.112
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.908
Pond1Fish2_PondTime,28.162
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,238
Pond1Fish2_TimeLeft,921.458
Pond1_Type,RT
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.861
Pond1Fish3_PondTime,35.146
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,248
Pond1Fish3_TimeLeft,914.474
Pond1_Type,RT
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.11
Pond1Fish4_PondTime,42.51
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,258
Pond1Fish4_TimeLeft,907.11
Pond1_Type,RT
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.986
Pond1Fish5_PondTime,50.325
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,268
Pond1Fish5_TimeLeft,899.295
Pond1_Type,RT
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.975
Pond1Fish6_PondTime,58.692
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,278
Pond1Fish6_TimeLeft,890.928
Pond1_Type,RT
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.859
Pond1Fish7_PondTime,67.727
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,288
Pond1Fish7_TimeLeft,881.892
Pond1_Type,RT
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.994
Pond1Fish8_PondTime,77.59
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,298
Pond1Fish8_TimeLeft,872.03
Pond1_Type,RT
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.187
Pond1Fish9_PondTime,88.524
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,308
Pond1Fish9_TimeLeft,861.096
Pond1_Type,RT
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.002
Pond1Fish10_PondTime,100.889
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,318
Pond1Fish10_TimeLeft,848.731
Pond1_GiveUpTime,0.743
Pond1_PondTime,115.414
Pond1_PondOutcome,100
Pond1_TotalOutcome,318
Pond1_TimeLeft,834.206
Pond2IntroTime,13.010132317431271
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.902
Pond2Fish1_PondTime,21.907
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,330
