,5c87fa88a341300016587b01
Pond8Fish8_TotalOutcome,960
Pond8Fish8_TimeLeft,132.869
Pond8_Type,RD
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.452
Pond8Fish9_PondTime,115.706
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,972
Pond8Fish9_TimeLeft,115.503
Pond8_Type,RD
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.611
Pond8Fish10_PondTime,138.07
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,984
Pond8Fish10_TimeLeft,93.139
Pond8_GiveUpTime,1.144
Pond8_PondTime,139.429
Pond8_PondOutcome,110
Pond8_TotalOutcome,984
Pond8_TimeLeft,91.78
Pond6IntroTime,16.735549019649625
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.551
Pond6Fish1_PondTime,25.17
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,996
Pond6Fish1_TimeLeft,66.61
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.262
Pond6Fish2_PondTime,31.285
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,1008
Pond6Fish2_TimeLeft,60.494
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.218
Pond6Fish3_PondTime,37.652
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,1020
Pond6Fish3_TimeLeft,54.128
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.393
Pond6Fish4_PondTime,44.302
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,1032
Pond6Fish4_TimeLeft,47.478
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.203
Pond6Fish5_PondTime,51.286
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1044
Pond6Fish5_TimeLeft,40.494
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.031
Pond6Fish6_PondTime,58.65
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,1056
Pond6Fish6_TimeLeft,33.129
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.147
Pond6Fish7_PondTime,66.466
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,1068
Pond6Fish7_TimeLeft,25.314
Pond6_Type,RD
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.052
Pond6Fish8_PondTime,74.832
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,1080
Pond6Fish8_TimeLeft,16.948
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.174
Pond6Fish9_PondTime,83.865
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,1092
Pond6Fish9_TimeLeft,7.915
