,taly5
PlayerDetails,taly5
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:53:09 GMT+0200 (Israel Standard Time)
Pond12_Type,RD
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.073
Pond12Fish1_PondTime,5.647
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1194.35
Pond12_Type,RD
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.082
Pond12Fish2_PondTime,12.021
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,24
Pond12Fish2_TimeLeft,1187.976
Pond12_Type,RD
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.303
Pond12Fish3_PondTime,18.687
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,36
Pond12Fish3_TimeLeft,1181.309
Pond12_Type,RD
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.128
Pond12Fish4_PondTime,25.687
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,38
Pond12Fish4_TimeLeft,1174.309
Pond12_Type,RD
Pond12Fish5_FishType,gray
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.321
Pond12Fish5_PondTime,33.069
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,40
Pond12Fish5_TimeLeft,1166.928
Pond12_GiveUpTime,1.111
Pond12_PondTime,34.086
Pond12_PondOutcome,40
Pond12_TotalOutcome,40
Pond12_TimeLeft,1165.911
Pond6IntroTime,14.870830248109996
Pond6_GiveUpTime,0.599
Pond6_PondTime,23.655
Pond6_PondOutcome,0
Pond6_TotalOutcome,40
Pond6_TimeLeft,1142.256
Pond11IntroTime,19.522542238701135
