,5dbba186a9e74e186663bd60
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.006
Pond9Fish5_PondTime,53.039
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,964
Pond9Fish5_TimeLeft,123.051
Pond9_Type,RD
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.141
Pond9Fish6_PondTime,62.089
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,976
Pond9Fish6_TimeLeft,114.001
Pond9_Type,RD
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.018
Pond9Fish7_PondTime,71.982
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,988
Pond9Fish7_TimeLeft,104.108
Pond9_Type,RD
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.279
Pond9Fish8_PondTime,82.974
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,1000
Pond9Fish8_TimeLeft,93.116
Pond9_Type,RD
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.943
Pond9Fish9_PondTime,95.345
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,1012
Pond9Fish9_TimeLeft,80.745
Pond9_Type,RD
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,0.897
Pond9Fish10_PondTime,109.725
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,1024
Pond9Fish10_TimeLeft,66.365
Pond9_Type,RD
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,0.835
Pond9Fish11_PondTime,127.103
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,1036
Pond9Fish11_TimeLeft,48.987
Pond9_GiveUpTime,1.674
Pond9_PondTime,128.215
Pond9_PondOutcome,132
Pond9_TotalOutcome,1036
Pond9_TimeLeft,47.875
Pond10IntroTime,18.067766628228128
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.933
Pond10Fish1_PondTime,28.45
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,1046
Pond10Fish1_TimeLeft,19.425
Pond10_Type,RT
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.09
Pond10Fish2_PondTime,36.849
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,1056
Pond10Fish2_TimeLeft,11.026
Pond10_GiveUpTime,0.758
Pond10_PondTime,46.315
Pond10_PondOutcome,20
Pond10_TotalOutcome,1056
Pond10_TimeLeft,1.56
Pond5IntroTime,16.66078721638769
