,5dbba186a9e74e186663bd60
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,1.014
Pond12Fish6_PondTime,63.771
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,200
Pond12Fish6_TimeLeft,982.878
Pond12_Type,RD
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.012
Pond12Fish7_PondTime,72.156
Pond12Fish7_PondOutcome,72
Pond12Fish7_TotalOutcome,212
Pond12Fish7_TimeLeft,974.493
Pond12_Type,RD
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.961
Pond12Fish8_PondTime,81.201
Pond12Fish8_PondOutcome,84
Pond12Fish8_TotalOutcome,224
Pond12Fish8_TimeLeft,965.449
Pond12_Type,RD
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.282
Pond12Fish9_PondTime,91.094
Pond12Fish9_PondOutcome,96
Pond12Fish9_TotalOutcome,236
Pond12Fish9_TimeLeft,955.556
Pond12_Type,RD
Pond12Fish10_FishType,gray
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.899
Pond12Fish10_PondTime,102.088
Pond12Fish10_PondOutcome,98
Pond12Fish10_TotalOutcome,238
Pond12Fish10_TimeLeft,944.562
Pond12_Type,RD
Pond12Fish11_FishType,gray
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,1.223
Pond12Fish11_PondTime,114.481
Pond12Fish11_PondOutcome,100
Pond12Fish11_TotalOutcome,240
Pond12Fish11_TimeLeft,932.169
Pond12_Type,RD
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,0.945
Pond12Fish12_PondTime,128.913
Pond12Fish12_PondOutcome,112
Pond12Fish12_TotalOutcome,252
Pond12Fish12_TimeLeft,917.737
Pond12_Type,RD
Pond12Fish13_FishType,gray
Pond12Fish13_FishLatency,12
Pond12Fish13_CatchTime,1.625
Pond12Fish13_PondTime,146.303
Pond12Fish13_PondOutcome,114
Pond12Fish13_TotalOutcome,254
Pond12Fish13_TimeLeft,900.347
Pond12_GiveUpTime,1.372
Pond12_PondTime,147.913
Pond12_PondOutcome,114
Pond12_TotalOutcome,254
Pond12_TimeLeft,898.737
Pond9IntroTime,16.394059574231505
Pond9_Type,RD
Pond9Fish1_FishType,gray
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.934
Pond9Fish1_PondTime,25.616
Pond9Fish1_PondOutcome,2
Pond9Fish1_TotalOutcome,256
Pond9Fish1_TimeLeft,873.121
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.894
Pond9Fish2_PondTime,32.643
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,268
Pond9Fish2_TimeLeft,866.093
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.963
Pond9Fish3_PondTime,40.025
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,280
Pond9Fish3_TimeLeft,858.712
Pond9_Type,RD
Pond9Fish4_FishType,blue
