,taly5
PlayerDetails,taly5
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Tue Nov 12 2019 12:10:57 GMT+0200 (Israel Standard Time)
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.308
Pond4Fish1_PondTime,6.528
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,12
Pond4Fish1_TimeLeft,1193.461
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.667
Pond4Fish2_PondTime,13.916
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,24
Pond4Fish2_TimeLeft,1186.073
Pond4_GiveUpTime,1.272
Pond4_PondTime,15.455
Pond4_PondOutcome,24
Pond4_TotalOutcome,24
Pond4_TimeLeft,1184.533
Pond5IntroTime,15.742256713565439
