,5d91ec6e24ba94001803a56a
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.085
Pond5Fish12_PondTime,104.063
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,185
Pond5Fish12_TimeLeft,1049.494
Pond5_GiveUpTime,1.304
Pond5_PondTime,105.065
Pond5_PondOutcome,130
Pond5_TotalOutcome,185
Pond5_TimeLeft,1048.492
Pond6IntroTime,11.067872177809477
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.003
Pond6Fish1_PondTime,20.321
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,197
Pond6Fish1_TimeLeft,1028.171
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.089
Pond6Fish2_PondTime,27.306
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,209
Pond6Fish2_TimeLeft,1021.186
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.854
Pond6Fish3_PondTime,34.693
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,221
Pond6Fish3_TimeLeft,1013.799
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.236
Pond6Fish4_PondTime,42.536
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,233
Pond6Fish4_TimeLeft,1005.955
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.603
Pond6Fish5_PondTime,50.938
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,245
Pond6Fish5_TimeLeft,997.554
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.797
Pond6Fish6_PondTime,59.997
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,257
