,567046e0b937e400122ebf68
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.698
Pond8Fish5_PondTime,56.492
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,916
Pond8Fish5_TimeLeft,101.467
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.61
Pond8Fish6_PondTime,66.348
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,927
Pond8Fish6_TimeLeft,91.611
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.458
Pond8Fish7_PondTime,77.286
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,938
Pond8Fish7_TimeLeft,80.673
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.926
Pond8Fish8_PondTime,89.652
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,949
Pond8Fish8_TimeLeft,68.307
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.637
Pond8Fish9_PondTime,104.016
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,960
Pond8Fish9_TimeLeft,53.943
Pond8_GiveUpTime,7.155
Pond8_PondTime,111.417
Pond8_PondOutcome,99
Pond8_TotalOutcome,960
Pond8_TimeLeft,46.542
Pond6IntroTime,12.640861258842051
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.899
Pond6Fish1_PondTime,21.812
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,972
Pond6Fish1_TimeLeft,24.73
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,0.949
Pond6Fish2_PondTime,28.789
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,984
Pond6Fish2_TimeLeft,17.753
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.939
Pond6Fish3_PondTime,36.15
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,996
Pond6Fish3_TimeLeft,10.392
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.847
Pond6Fish4_PondTime,44.115
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,1008
Pond6Fish4_TimeLeft,2.427
