,5dcdcc63d30a0e09b2a8349d
Pond12Fish4_CatchTime,0.759
Pond12Fish4_PondTime,44.577
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,99
Pond12Fish4_TimeLeft,1118.2
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.86
Pond12Fish5_PondTime,52.932
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,110
Pond12Fish5_TimeLeft,1109.845
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.713
Pond12Fish6_PondTime,61.958
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,121
Pond12Fish6_TimeLeft,1100.819
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.803
Pond12Fish7_PondTime,71.818
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,132
Pond12Fish7_TimeLeft,1090.959
Pond12_GiveUpTime,0.771
Pond12_PondTime,82.833
Pond12_PondOutcome,77
Pond12_TotalOutcome,132
Pond12_TimeLeft,1079.944
Pond1IntroTime,12.63367781881243
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.801
Pond1Fish1_PondTime,22.527
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,144
Pond1Fish1_TimeLeft,1057.417
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.624
Pond1Fish2_PondTime,30.343
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,156
Pond1Fish2_TimeLeft,1049.601
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.834
Pond1Fish3_PondTime,38.699
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,168
Pond1Fish3_TimeLeft,1041.245
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.768
Pond1Fish4_PondTime,47.724
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,180
Pond1Fish4_TimeLeft,1032.22
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.65
Pond1Fish5_PondTime,57.585
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,192
Pond1Fish5_TimeLeft,1022.359
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.702
Pond1Fish6_PondTime,68.513
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,204
Pond1Fish6_TimeLeft,1011.431
Pond1_GiveUpTime,0.482
Pond1_PondTime,80.67
Pond1_PondOutcome,72
Pond1_TotalOutcome,204
Pond1_TimeLeft,999.274
Pond3IntroTime,14.450438285712153
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.799
Pond3Fish1_PondTime,24.791
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,215
Pond3Fish1_TimeLeft,974.483
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.761
Pond3Fish2_PondTime,33.147
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,226
Pond3Fish2_TimeLeft,966.127
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.841
Pond3Fish3_PondTime,42.174
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,237
Pond3Fish3_TimeLeft,957.1
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.645
Pond3Fish4_PondTime,52.033
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,248
Pond3Fish4_TimeLeft,947.241
Pond3_GiveUpTime,0.446
Pond3_PondTime,62.846
Pond3_PondOutcome,44
Pond3_TotalOutcome,248
Pond3_TimeLeft,936.428
Pond7IntroTime,18.89713097596541
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.805
Pond7Fish1_PondTime,27.804
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,259
Pond7Fish1_TimeLeft,908.624
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.884
Pond7Fish2_PondTime,34.45
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,270
Pond7Fish2_TimeLeft,901.978
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.571
Pond7Fish3_PondTime,41.432
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,281
Pond7Fish3_TimeLeft,894.996
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.7
Pond7Fish4_PondTime,48.802
