,5d37016fb3fa9f00011456bc
PlayerDetails,5d37016fb3fa9f00011456bc
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 09:04:12 GMT+0000 (Greenwich Mean Time)
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.78
Pond6Fish1_PondTime,6.157
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1193.841
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,0.555
Pond6Fish2_PondTime,13.141
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1186.857
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.06
Pond6Fish3_PondTime,20.507
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,36
Pond6Fish3_TimeLeft,1179.491
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.558
Pond6Fish4_PondTime,28.324
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,48
Pond6Fish4_TimeLeft,1171.674
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.963
Pond6Fish5_PondTime,36.69
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,60
Pond6Fish5_TimeLeft,1163.308
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.521
Pond6Fish6_PondTime,45.723
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,72
Pond6Fish6_TimeLeft,1154.275
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.799
Pond6Fish7_PondTime,55.589
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,84
Pond6Fish7_TimeLeft,1144.409
Pond6_Type,RD
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,0.869
Pond6Fish8_PondTime,66.523
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,96
Pond6Fish8_TimeLeft,1133.475
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,0.838
Pond6Fish9_PondTime,78.89
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,108
Pond6Fish9_TimeLeft,1121.108
Pond6_Type,RD
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.082
Pond6Fish10_PondTime,93.256
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,120
Pond6Fish10_TimeLeft,1106.742
Pond6_Type,RD
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,0.751
Pond6Fish11_PondTime,110.624
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,132
Pond6Fish11_TimeLeft,1089.374
Pond6_Type,RD
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,15
Pond6Fish12_CatchTime,0.824
Pond6Fish12_PondTime,132.988
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,144
Pond6Fish12_TimeLeft,1067.01
Pond6_GiveUpTime,1.8
Pond6_PondTime,134.22
Pond6_PondOutcome,144
Pond6_TotalOutcome,144
Pond6_TimeLeft,1065.778
Pond3IntroTime,16.30639422684908
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.809
Pond3Fish1_PondTime,26.652
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,155
Pond3Fish1_TimeLeft,1039.126
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.728
Pond3Fish2_PondTime,35.019
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,166
Pond3Fish2_TimeLeft,1030.759
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.669
Pond3Fish3_PondTime,44.051
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,177
Pond3Fish3_TimeLeft,1021.727
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.674
Pond3Fish4_PondTime,53.918
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,188
Pond3Fish4_TimeLeft,1011.86
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.866
Pond3Fish5_PondTime,64.852
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,199
Pond3Fish5_TimeLeft,1000.926
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.78
Pond3Fish6_PondTime,77.218
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,210
Pond3Fish6_TimeLeft,988.56
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.57
Pond3Fish7_PondTime,91.584
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,221
Pond3Fish7_TimeLeft,974.194
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,0.594
Pond3Fish8_PondTime,108.95
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,232
Pond3Fish8_TimeLeft,956.828
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,0.915
Pond3Fish9_PondTime,131.315
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,243
Pond3Fish9_TimeLeft,934.463
Pond3_GiveUpTime,0.769
Pond3_PondTime,163.849
Pond3_PondOutcome,99
Pond3_TotalOutcome,243
Pond3_TimeLeft,901.929
Pond8IntroTime,12.531197790522128
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.663
Pond8Fish1_PondTime,22.051
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,254
Pond8Fish1_TimeLeft,879.878
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.762
Pond8Fish2_PondTime,29.418
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,265
Pond8Fish2_TimeLeft,872.511
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.588
Pond8Fish3_PondTime,37.233
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,276
Pond8Fish3_TimeLeft,864.696
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.664
Pond8Fish4_PondTime,45.6
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,287
Pond8Fish4_TimeLeft,856.329
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.658
Pond8Fish5_PondTime,54.633
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,298
Pond8Fish5_TimeLeft,847.296
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.645
Pond8Fish6_PondTime,64.501
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,309
Pond8Fish6_TimeLeft,837.428
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.401
Pond8Fish7_PondTime,75.432
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,320
Pond8Fish7_TimeLeft,826.497
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.039
Pond8Fish8_PondTime,87.801
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,331
Pond8Fish8_TimeLeft,814.128
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,0.826
Pond8Fish9_PondTime,102.167
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,342
Pond8Fish9_TimeLeft,799.762
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.011
Pond8Fish10_PondTime,119.534
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,353
Pond8Fish10_TimeLeft,782.395
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,1.06
Pond8Fish11_PondTime,141.898
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,364
Pond8Fish11_TimeLeft,760.031
Pond8_GiveUpTime,27.96
Pond8_PondTime,169.524
Pond8_PondOutcome,121
Pond8_TotalOutcome,364
Pond8_TimeLeft,732.405
Pond9IntroTime,12.866132110357285
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.805
Pond9Fish1_PondTime,21.508
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,375
Pond9Fish1_TimeLeft,710.897
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.76
Pond9Fish2_PondTime,27.876
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,386
Pond9Fish2_TimeLeft,704.529
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.621
