,5d945ad02d58dc00195ead79
Pond5Fish5_TimeLeft,92.958
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.701
Pond5Fish6_PondTime,58.736
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,976
Pond5Fish6_TimeLeft,85.958
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.651
Pond5Fish7_PondTime,66.101
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,986
Pond5Fish7_TimeLeft,78.592
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.613
Pond5Fish8_PondTime,73.923
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,996
Pond5Fish8_TimeLeft,70.771
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.528
Pond5Fish9_PondTime,82.288
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,1006
Pond5Fish9_TimeLeft,62.406
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.719
Pond5Fish10_PondTime,91.321
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,1016
Pond5Fish10_TimeLeft,53.373
Pond5_GiveUpTime,0.446
Pond5_PondTime,101.234
Pond5_PondOutcome,100
Pond5_TotalOutcome,1016
Pond5_TimeLeft,43.459
Pond9IntroTime,16.618173194583505
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.704
Pond9Fish1_PondTime,25.274
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1027
Pond9Fish1_TimeLeft,18.185
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.701
Pond9Fish2_PondTime,31.641
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,1038
Pond9Fish2_TimeLeft,11.818
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.718
Pond9Fish3_PondTime,38.289
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,1049
Pond9Fish3_TimeLeft,5.17
