,5d945ad02d58dc00195ead79
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,0.67
Pond6Fish8_PondTime,84.542
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,195
Pond6Fish8_TimeLeft,1041.261
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,0.94
Pond6Fish9_PondTime,96.911
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,207
Pond6Fish9_TimeLeft,1028.892
Pond6_Type,RD
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,0.728
Pond6Fish10_PondTime,111.279
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,219
Pond6Fish10_TimeLeft,1014.524
Pond6_Type,RD
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,0.855
Pond6Fish11_PondTime,128.647
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,231
Pond6Fish11_TimeLeft,997.155
Pond6_Type,RD
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,15
Pond6Fish12_CatchTime,0.944
Pond6Fish12_PondTime,151.015
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,243
Pond6Fish12_TimeLeft,974.788
Pond6_GiveUpTime,1.078
Pond6_PondTime,151.642
Pond6_PondOutcome,144
Pond6_TotalOutcome,243
Pond6_TimeLeft,974.161
Pond7IntroTime,11.238393995445222
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.009
Pond7Fish1_PondTime,20.141
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,254
Pond7Fish1_TimeLeft,954.02
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,26.842
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,254
Pond7Fish2_TimeLeft,947.319
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.735
Pond7Fish3_PondTime,33.826
Pond7Fish3_PondOutcome,22
Pond7Fish3_TotalOutcome,265
Pond7Fish3_TimeLeft,940.335
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.715
Pond7Fish4_PondTime,41.195
Pond7Fish4_PondOutcome,33
Pond7Fish4_TotalOutcome,276
Pond7Fish4_TimeLeft,932.966
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.797
Pond7Fish5_PondTime,49.011
Pond7Fish5_PondOutcome,44
Pond7Fish5_TotalOutcome,287
Pond7Fish5_TimeLeft,925.15
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.716
Pond7Fish6_PondTime,57.38
Pond7Fish6_PondOutcome,55
Pond7Fish6_TotalOutcome,298
Pond7Fish6_TimeLeft,916.781
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.66
Pond7Fish7_PondTime,66.412
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,309
Pond7Fish7_TimeLeft,907.749
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.699
Pond7Fish8_PondTime,76.291
Pond7Fish8_PondOutcome,77
Pond7Fish8_TotalOutcome,320
Pond7Fish8_TimeLeft,897.87
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.861
Pond7Fish9_PondTime,87.233
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,331
Pond7Fish9_TimeLeft,886.928
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,0.88
Pond7Fish10_PondTime,99.597
Pond7Fish10_PondOutcome,99
Pond7Fish10_TotalOutcome,342
Pond7Fish10_TimeLeft,874.564
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.721
Pond7Fish11_PondTime,113.965
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,353
Pond7Fish11_TimeLeft,860.196
Pond7_GiveUpTime,0.798
Pond7_PondTime,131.544
Pond7_PondOutcome,110
Pond7_TotalOutcome,353
Pond7_TimeLeft,842.617
Pond4IntroTime,19.471328572835773
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.682
Pond4Fish1_PondTime,29.373
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,365
Pond4Fish1_TimeLeft,813.244
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.859
Pond4Fish2_PondTime,37.193
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,377
Pond4Fish2_TimeLeft,805.424
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.703
Pond4Fish3_PondTime,45.558
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,389
Pond4Fish3_TimeLeft,797.059
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.657
Pond4Fish4_PondTime,54.592
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,401
Pond4Fish4_TimeLeft,788.025
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.61
Pond4Fish5_PondTime,64.46
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,413
Pond4Fish5_TimeLeft,778.157
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.701
Pond4Fish6_PondTime,75.394
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,425
Pond4Fish6_TimeLeft,767.223
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,0.767
Pond4Fish7_PondTime,87.762
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,437
Pond4Fish7_TimeLeft,754.855
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,0.818
Pond4Fish8_PondTime,102.13
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,449
Pond4Fish8_TimeLeft,740.487
Pond4_GiveUpTime,0.462
Pond4_PondTime,119.275
Pond4_PondOutcome,96
Pond4_TotalOutcome,449
Pond4_TimeLeft,723.342
Pond8IntroTime,19.552982063032687
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.912
Pond8Fish1_PondTime,29.057
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,460
Pond8Fish1_TimeLeft,694.284
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.77
Pond8Fish2_PondTime,36.425
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,471
Pond8Fish2_TimeLeft,686.917
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.766
Pond8Fish3_PondTime,44.242
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,482
Pond8Fish3_TimeLeft,679.1
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.746
Pond8Fish4_PondTime,52.609
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,493
Pond8Fish4_TimeLeft,670.733
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
