,taly5
PlayerDetails,taly5
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 09:24:38 GMT+0200 (Israel Standard Time)
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.105
Pond1Fish1_PondTime,6.865
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1193.132
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.992
Pond1Fish2_PondTime,14.682
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1185.315
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.074
Pond1Fish3_PondTime,23.049
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,36
Pond1Fish3_TimeLeft,1176.948
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.056
Pond1Fish4_PondTime,32.08
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,48
Pond1Fish4_TimeLeft,1167.917
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.086
Pond1Fish5_PondTime,41.949
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1158.048
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.282
Pond1Fish6_PondTime,52.88
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,72
Pond1Fish6_TimeLeft,1147.117
Pond1_GiveUpTime,0.854
Pond1_PondTime,65.652
Pond1_PondOutcome,72
Pond1_TotalOutcome,72
Pond1_TimeLeft,1134.345
Pond7IntroTime,10.615056848619133
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.085
Pond7Fish1_PondTime,19.53
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,83
Pond7Fish1_TimeLeft,1114.815
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.203
Pond7Fish2_PondTime,26.181
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,94
Pond7Fish2_TimeLeft,1108.164
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.131
Pond7Fish3_PondTime,33.166
