,5bf0d82b5823f30001538ff5
Pond9Fish2_PondTime,31.627
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,132
Pond9Fish2_TimeLeft,1089.976
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.907
Pond9Fish3_PondTime,38.276
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,143
Pond9Fish3_TimeLeft,1083.327
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.88
Pond9Fish4_PondTime,45.258
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,154
Pond9Fish4_TimeLeft,1076.345
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.821
Pond9Fish5_PondTime,52.623
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,165
Pond9Fish5_TimeLeft,1068.98
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.009
Pond9Fish6_PondTime,60.439
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,176
Pond9Fish6_TimeLeft,1061.164
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.009
Pond9Fish7_PondTime,68.805
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,187
Pond9Fish7_TimeLeft,1052.798
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.113
Pond9Fish8_PondTime,77.837
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,198
Pond9Fish8_TimeLeft,1043.766
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.061
Pond9Fish9_PondTime,87.702
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,209
Pond9Fish9_TimeLeft,1033.901
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.173
Pond9Fish10_PondTime,98.632
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,220
Pond9Fish10_TimeLeft,1022.971
Pond9_GiveUpTime,1.009
Pond9_PondTime,99.421
Pond9_PondOutcome,110
