,5c9e974dc00f5a0012f9884d
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.732
Pond2Fish9_PondTime,81.09
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,187
Pond2Fish9_TimeLeft,1055.664
Pond2_Type,N
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.94
Pond2Fish10_PondTime,90.964
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,198
Pond2Fish10_TimeLeft,1045.79
Pond2_GiveUpTime,0.813
Pond2_PondTime,102.322
Pond2_PondOutcome,110
Pond2_TotalOutcome,198
Pond2_TimeLeft,1034.432
Pond1IntroTime,19.836641096044332
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.129
Pond1Fish1_PondTime,29.732
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,210
Pond1Fish1_TimeLeft,1004.7
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.717
Pond1Fish2_PondTime,37.543
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,222
Pond1Fish2_TimeLeft,996.889
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.14
Pond1Fish3_PondTime,45.919
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,234
Pond1Fish3_TimeLeft,988.513
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.978
Pond1Fish4_PondTime,54.949
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,246
Pond1Fish4_TimeLeft,979.483
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.035
Pond1Fish5_PondTime,64.812
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,258
Pond1Fish5_TimeLeft,969.62
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.968
Pond1Fish6_PondTime,75.742
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,270
Pond1Fish6_TimeLeft,958.69
Pond1_Type,RD
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.073
Pond1Fish7_PondTime,88.1
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,282
Pond1Fish7_TimeLeft,946.332
Pond1_Type,RD
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.977
Pond1Fish8_PondTime,102.466
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,294
Pond1Fish8_TimeLeft,931.966
Pond1_Type,RD
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.155
Pond1Fish9_PondTime,119.844
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,306
Pond1Fish9_TimeLeft,914.588
Pond1_GiveUpTime,0.916
Pond1_PondTime,120.521
Pond1_PondOutcome,108
Pond1_TotalOutcome,306
Pond1_TimeLeft,913.911
Pond9IntroTime,18.385002915747464
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.88
Pond9Fish1_PondTime,27.027
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,317
Pond9Fish1_TimeLeft,886.884
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.899
Pond9Fish2_PondTime,33.393
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,328
Pond9Fish2_TimeLeft,880.518
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.101
Pond9Fish3_PondTime,40.039
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,339
Pond9Fish3_TimeLeft,873.872
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.839
Pond9Fish4_PondTime,47.031
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,350
Pond9Fish4_TimeLeft,866.88
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.195
Pond9Fish5_PondTime,54.395
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,361
Pond9Fish5_TimeLeft,859.516
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.921
Pond9Fish6_PondTime,62.22
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,372
Pond9Fish6_TimeLeft,851.691
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
