,5c670f321b9d0e000190a113
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.907
Pond6Fish6_PondTime,61.893
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,193
Pond6Fish6_TimeLeft,1052.075
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.771
Pond6Fish7_PondTime,71.801
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,205
Pond6Fish7_TimeLeft,1042.166
Pond6_GiveUpTime,9.81
Pond6_PondTime,80.974
Pond6_PondOutcome,84
Pond6_TotalOutcome,205
Pond6_TimeLeft,1032.994
Pond5IntroTime,19.689233482349664
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.092
Pond5Fish1_PondTime,28.015
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,215
Pond5Fish1_TimeLeft,1004.979
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.146
Pond5Fish2_PondTime,33.947
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,225
Pond5Fish2_TimeLeft,999.047
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.146
Pond5Fish3_PondTime,40.096
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,235
Pond5Fish3_TimeLeft,992.898
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.148
Pond5Fish4_PondTime,46.511
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,245
Pond5Fish4_TimeLeft,986.482
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.217
Pond5Fish5_PondTime,53.206
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,255
Pond5Fish5_TimeLeft,979.788
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.986
Pond5Fish6_PondTime,60.212
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,265
Pond5Fish6_TimeLeft,972.782
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.036
Pond5Fish7_PondTime,67.627
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,275
Pond5Fish7_TimeLeft,965.367
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.863
Pond5Fish8_PondTime,75.648
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,285
Pond5Fish8_TimeLeft,957.346
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.296
Pond5Fish9_PondTime,84.045
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,295
Pond5Fish9_TimeLeft,948.949
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.041
Pond5Fish10_PondTime,93.126
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,305
Pond5Fish10_TimeLeft,939.868
Pond5_Type,RT
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.953
Pond5Fish11_PondTime,103.017
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,315
Pond5Fish11_TimeLeft,929.977
Pond5_GiveUpTime,7.992
Pond5_PondTime,110.573
Pond5_PondOutcome,110
Pond5_TotalOutcome,315
Pond5_TimeLeft,922.421
Pond9IntroTime,15.721096890047193
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.3
Pond9Fish1_PondTime,24.507
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,326
Pond9Fish1_TimeLeft,897.914
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.121
Pond9Fish2_PondTime,30.905
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,337
Pond9Fish2_TimeLeft,891.515
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.352
Pond9Fish3_PondTime,37.585
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,348
Pond9Fish3_TimeLeft,884.836
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.304
Pond9Fish4_PondTime,44.607
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,359
Pond9Fish4_TimeLeft,877.814
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.176
Pond9Fish5_PondTime,52.009
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,370
Pond9Fish5_TimeLeft,870.412
