,5bd6f3369c5d1f000195e70c
PlayerDetails,5bd6f3369c5d1f000195e70c
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 09:44:32 GMT+0100 (czas środkowoeuropejski standardowy)
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,-1
Pond10Fish1_PondTime,8.506
Pond10Fish1_PondOutcome,0
Pond10Fish1_TotalOutcome,0
Pond10Fish1_TimeLeft,1191.482
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.223
Pond10Fish2_PondTime,16.741
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,11
Pond10Fish2_TimeLeft,1183.248
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.011
Pond10Fish3_PondTime,23.429
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,22
Pond10Fish3_TimeLeft,1176.56
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,33.264
Pond10Fish4_PondOutcome,22
Pond10Fish4_TotalOutcome,22
Pond10Fish4_TimeLeft,1166.725
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,-1
Pond10Fish5_PondTime,45.344
Pond10Fish5_PondOutcome,22
Pond10Fish5_TotalOutcome,22
Pond10Fish5_TimeLeft,1154.644
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,-1
Pond10Fish6_PondTime,57.888
Pond10Fish6_PondOutcome,22
Pond10Fish6_TotalOutcome,22
Pond10Fish6_TimeLeft,1142.101
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,-1
Pond10Fish7_PondTime,70.967
Pond10Fish7_PondOutcome,22
Pond10Fish7_TotalOutcome,22
Pond10Fish7_TimeLeft,1129.022
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,-1
Pond10Fish8_PondTime,84.701
Pond10Fish8_PondOutcome,22
Pond10Fish8_TotalOutcome,22
Pond10Fish8_TimeLeft,1115.288
