,5bad544c023f730001a217b2
Pond5Fish11_PondTime,101.956
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,966
Pond5Fish11_TimeLeft,38.679
Pond5_Type,RT
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,0.627
Pond5Fish12_PondTime,112.942
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,976
Pond5Fish12_TimeLeft,27.694
Pond5_Type,RT
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,0.74
Pond5Fish13_PondTime,125.354
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,986
Pond5Fish13_TimeLeft,15.281
