,5c3672c68e5c360001058e14
Pond10Fish3_PondTime,37.114
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,903
Pond10Fish3_TimeLeft,167.469
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.818
Pond10Fish4_PondTime,44.098
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,914
Pond10Fish4_TimeLeft,160.485
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.865
Pond10Fish5_PondTime,51.465
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,925
Pond10Fish5_TimeLeft,153.118
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.604
Pond10Fish6_PondTime,59.281
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,936
Pond10Fish6_TimeLeft,145.302
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.123
Pond10Fish7_PondTime,67.649
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,947
Pond10Fish7_TimeLeft,136.934
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.859
Pond10Fish8_PondTime,76.681
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,958
Pond10Fish8_TimeLeft,127.902
Pond10_GiveUpTime,0.399
Pond10_PondTime,86.563
Pond10_PondOutcome,88
Pond10_TotalOutcome,958
Pond10_TimeLeft,118.02
Pond11IntroTime,15.5081840720959
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.886
Pond11Fish1_PondTime,25.851
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,969
Pond11Fish1_TimeLeft,92.169
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.844
Pond11Fish2_PondTime,34.218
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,980
Pond11Fish2_TimeLeft,83.802
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.813
Pond11Fish3_PondTime,43.252
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,991
Pond11Fish3_TimeLeft,74.768
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.801
Pond11Fish4_PondTime,53.118
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,1002
Pond11Fish4_TimeLeft,64.902
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.48
Pond11Fish5_PondTime,64.052
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,1013
Pond11Fish5_TimeLeft,53.968
Pond11_GiveUpTime,0.757
Pond11_PondTime,64.89
Pond11_PondOutcome,55
Pond11_TotalOutcome,1013
Pond11_TimeLeft,53.13
Pond3IntroTime,10.472541509661824
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.86
Pond3Fish1_PondTime,20.811
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,1024
Pond3Fish1_TimeLeft,32.319
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.284
Pond3Fish2_PondTime,29.178
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,1035
Pond3Fish2_TimeLeft,23.952
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.836
Pond3Fish3_PondTime,38.211
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,1046
Pond3Fish3_TimeLeft,14.919
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.775
Pond3Fish4_PondTime,48.078
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,1057
Pond3Fish4_TimeLeft,5.052
