,5b715fbd6d79f00001375b11
Pond4Fish5_CatchTime,1.356
Pond4Fish5_PondTime,48.036
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,175
Pond4Fish5_TimeLeft,1032.683
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.343
Pond4Fish6_PondTime,60.424
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,186
Pond4Fish6_TimeLeft,1020.294
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.203
Pond4Fish7_PondTime,74.812
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,197
Pond4Fish7_TimeLeft,1005.907
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.162
Pond4Fish8_PondTime,92.183
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,208
Pond4Fish8_TimeLeft,988.536
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.765
Pond4Fish9_PondTime,114.638
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,219
Pond4Fish9_TimeLeft,966.081
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,9.911
PondTime,124.448
TimeLeft,955.766
PondOutcome,99
TotalOutcome,219
PondStart,PondStart
PondIntroTime,19.354873376432806
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.369
Pond3Fish1_PondTime,7.838
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,229
Pond3Fish1_TimeLeft,927.932
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.273
Pond3Fish2_PondTime,13.961
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,239
Pond3Fish2_TimeLeft,921.809
Type,RT
