,5b715fbd6d79f00001375b11
Type,RD
GiveUpTime,1.738
PondTime,188.043
TimeLeft,80.972
PondOutcome,192
TotalOutcome,936
PondStart,PondStart
PondIntroTime,16.387537932023406
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.517
Pond9Fish1_PondTime,8.294
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,947
Pond9Fish1_TimeLeft,55.628
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.476
Pond9Fish2_PondTime,14.955
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,958
Pond9Fish2_TimeLeft,48.967
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.237
Pond9Fish3_PondTime,21.948
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,969
Pond9Fish3_TimeLeft,41.974
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.177
Pond9Fish4_PondTime,29.318
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,980
Pond9Fish4_TimeLeft,34.604
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.08
Pond9Fish5_PondTime,37.151
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,991
Pond9Fish5_TimeLeft,26.771
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.471
Pond9Fish6_PondTime,45.521
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,1002
Pond9Fish6_TimeLeft,18.401
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,-1
Pond9Fish7_PondTime,54.627
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,1002
Pond9Fish7_TimeLeft,9.295
