,57c1ab62ffd38700010b4637
Pond5Fish6_TimeLeft,88.979
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,1.395
Pond5Fish7_PondTime,58.176
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,915
Pond5Fish7_TimeLeft,79.096
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.337
Pond5Fish8_PondTime,69.139
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,926
Pond5Fish8_TimeLeft,68.133
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.357
Pond5Fish9_PondTime,81.514
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,937
Pond5Fish9_TimeLeft,55.758
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.406
Pond5Fish10_PondTime,95.892
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,948
Pond5Fish10_TimeLeft,41.38
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,1.688
Pond5Fish11_PondTime,113.255
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,959
Pond5Fish11_TimeLeft,24.017
