,5d418fed1cad4d00015e2d1b
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.301
Pond6Fish9_PondTime,82.453
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,895
Pond6Fish9_TimeLeft,156.481
PondEnd_LastFish,9
FishN,15
Type,RD
GiveUpTime,11.163
PondTime,93.13
TimeLeft,145.3
PondOutcome,98
TotalOutcome,895
PondStart,PondStart
PondIntroTime,10.765790096484125
Type,RT
FishN,18
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,0.987
Pond8Fish1_PondTime,8.034
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,905
Pond8Fish1_TimeLeft,125.861
Type,RT
FishN,18
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,0.927
Pond8Fish2_PondTime,14.4
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,915
Pond8Fish2_TimeLeft,119.495
Type,RT
FishN,18
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.87
Pond8Fish3_PondTime,21.049
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,925
Pond8Fish3_TimeLeft,112.846
Type,RT
FishN,18
Fish,4
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,0.765
Pond8Fish4_PondTime,28.032
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,945
Pond8Fish4_TimeLeft,105.863
Type,RT
FishN,18
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,0.791
Pond8Fish5_PondTime,35.398
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,955
Pond8Fish5_TimeLeft,98.496
Type,RT
FishN,18
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.059
Pond8Fish6_PondTime,43.218
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,965
Pond8Fish6_TimeLeft,90.677
Type,RT
FishN,18
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,1.975
Pond8Fish7_PondTime,51.864
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,975
Pond8Fish7_TimeLeft,82.031
Type,RT
FishN,18
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,0.855
Pond8Fish8_PondTime,60.9
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,985
Pond8Fish8_TimeLeft,72.995
Type,RT
FishN,18
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,0.685
Pond8Fish9_PondTime,70.766
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,995
Pond8Fish9_TimeLeft,63.129
Type,RT
FishN,18
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,0.621
Pond8Fish10_PondTime,81.7
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1005
Pond8Fish10_TimeLeft,52.194
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,0.661
PondTime,93.909
TimeLeft,39.484
PondOutcome,110
TotalOutcome,1005
PondStart,PondStart
PondIntroTime,13.002094279509038
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.041
Pond11Fish1_PondTime,8.6
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,1015
Pond11Fish1_TimeLeft,17.228
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,0.934
Pond11Fish2_PondTime,15.617
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,1025
Pond11Fish2_TimeLeft,10.212
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.951
Pond11Fish3_PondTime,23.008
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,1035
Pond11Fish3_TimeLeft,2.821
