,5c90e1f1f8b076001582f2f4
Pond1Fish8_TimeLeft,201.091
Type,N
FishN,18
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.796
Pond1Fish9_PondTime,70.74
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,902
Pond1Fish9_TimeLeft,191.195
Type,N
FishN,18
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.248
Pond1Fish10_PondTime,81.706
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,913
Pond1Fish10_TimeLeft,180.23
Type,N
FishN,18
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,0.965
Pond1Fish11_PondTime,94.093
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,924
Pond1Fish11_TimeLeft,167.842
Type,N
FishN,18
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,0.586
Pond1Fish12_PondTime,108.484
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,935
Pond1Fish12_TimeLeft,153.452
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,0.552
PondTime,125.486
TimeLeft,135.935
PondOutcome,132
TotalOutcome,935
PondStart,PondStart
PondIntroTime,19.736644974909723
Type,RD
FishN,12
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.538
Pond7Fish1_PondTime,8.917
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,947
Pond7Fish1_TimeLeft,106.66
Type,RD
FishN,12
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.711
Pond7Fish2_PondTime,16.336
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,959
Pond7Fish2_TimeLeft,99.241
Type,RD
FishN,12
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.753
Pond7Fish3_PondTime,24.204
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,971
Pond7Fish3_TimeLeft,91.373
Type,RD
FishN,12
Fish,4
Pond7Fish4_FishType,gray
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.862
Pond7Fish4_PondTime,32.612
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,973
Pond7Fish4_TimeLeft,82.965
Type,RD
FishN,12
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.074
Pond7Fish5_PondTime,41.679
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,985
Pond7Fish5_TimeLeft,73.897
Type,RD
FishN,12
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.609
Pond7Fish6_PondTime,51.592
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,997
Pond7Fish6_TimeLeft,63.985
Type,RD
FishN,12
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.581
Pond7Fish7_PondTime,62.547
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,1009
Pond7Fish7_TimeLeft,53.03
Type,RD
FishN,12
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.637
Pond7Fish8_PondTime,76.005
Pond7Fish8_PondOutcome,76
Pond7Fish8_TotalOutcome,1011
Pond7Fish8_TimeLeft,39.572
Type,RD
FishN,12
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.897
Pond7Fish9_PondTime,90.392
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,1023
Pond7Fish9_TimeLeft,25.185
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.32
PondTime,107.078
TimeLeft,7.993
PondOutcome,88
TotalOutcome,1023
PondStart,PondStart
PondIntroTime,14.1871317056939
