,5e2180f70e01cd000d9f79ed
TimeLeft,1040.868
PondOutcome,165
TotalOutcome,165
PondStart,PondStart
PondIntroTime,11.176409984473139
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.776
Pond5Fish1_PondTime,8.883
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,185
Pond5Fish1_TimeLeft,1020.188
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.923
Pond5Fish2_PondTime,16.247
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,195
Pond5Fish2_TimeLeft,1012.824
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.596
Pond5Fish3_PondTime,24.069
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,205
Pond5Fish3_TimeLeft,1005.002
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.742
Pond5Fish4_PondTime,32.476
Pond5Fish4_PondOutcome,60
Pond5Fish4_TotalOutcome,225
Pond5Fish4_TimeLeft,996.595
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.901
Pond5Fish5_PondTime,41.51
Pond5Fish5_PondOutcome,70
Pond5Fish5_TotalOutcome,235
Pond5Fish5_TimeLeft,987.561
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.962
Pond5Fish6_PondTime,51.64
Pond5Fish6_PondOutcome,80
Pond5Fish6_TotalOutcome,245
Pond5Fish6_TimeLeft,977.431
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.803
Pond5Fish7_PondTime,62.574
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,255
Pond5Fish7_TimeLeft,966.497
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.829
Pond5Fish8_PondTime,74.958
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,265
Pond5Fish8_TimeLeft,954.113
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.208
Pond5Fish9_PondTime,89.322
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,275
Pond5Fish9_TimeLeft,939.749
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,0.826
Pond5Fish10_PondTime,106.688
Pond5Fish10_PondOutcome,130
Pond5Fish10_TotalOutcome,295
Pond5Fish10_TimeLeft,922.383
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,0.918
Pond5Fish11_PondTime,129.067
Pond5Fish11_PondOutcome,140
Pond5Fish11_TotalOutcome,305
Pond5Fish11_TimeLeft,900.004
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.779
Pond5Fish12_PondTime,161.512
Pond5Fish12_PondOutcome,150
Pond5Fish12_TotalOutcome,315
Pond5Fish12_TimeLeft,867.559
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,1.601
PondTime,163.012
TimeLeft,865.556
PondOutcome,150
TotalOutcome,315
PondStart,PondStart
PondIntroTime,16.136682827491313
Type,RD
FishN,15
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.777
Pond9Fish1_PondTime,9.3
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,327
Pond9Fish1_TimeLeft,839.493
Type,RD
FishN,15
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,17.18
Pond9Fish2_PondOutcome,12
Pond9Fish2_TotalOutcome,327
Pond9Fish2_TimeLeft,831.613
Type,RD
FishN,15
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.666
Pond9Fish3_PondTime,25.546
Pond9Fish3_PondOutcome,24
Pond9Fish3_TotalOutcome,339
Pond9Fish3_TimeLeft,823.247
Type,RD
FishN,15
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.856
Pond9Fish4_PondTime,34.58
Pond9Fish4_PondOutcome,36
Pond9Fish4_TotalOutcome,351
Pond9Fish4_TimeLeft,814.213
Type,RD
FishN,15
Fish,5
Pond9Fish5_FishType,blue
