,5bfac7cdd3ac000001bad5a0
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.363
Pond3Fish7_PondTime,47.147
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,880
Pond3Fish7_TimeLeft,49.599
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.542
Pond3Fish8_PondTime,54.975
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,890
Pond3Fish8_TimeLeft,41.771
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.194
Pond3Fish9_PondTime,63.342
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,900
Pond3Fish9_TimeLeft,33.404
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.158
Pond3Fish10_PondTime,72.39
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,910
Pond3Fish10_TimeLeft,24.356
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.284
Pond3Fish11_PondTime,82.261
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,920
Pond3Fish11_TimeLeft,14.485
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.362
Pond3Fish12_PondTime,93.198
Pond3Fish12_PondOutcome,120
Pond3Fish12_TotalOutcome,930
Pond3Fish12_TimeLeft,3.548
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,1.179
PondTime,93.94
TimeLeft,2.301
PondOutcome,120
TotalOutcome,930
PondStart,PondStart
PondIntroTime,13.862257064320147
