,5e226aee28b7b6533126bcee
GiveUpTime,0.902
PondTime,45.535
TimeLeft,1078.031
PondOutcome,60
TotalOutcome,132
PondStart,PondStart
PondIntroTime,19.195172246545553
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.129
Pond7Fish1_PondTime,8.883
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,143
Pond7Fish1_TimeLeft,1049.333
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.983
Pond7Fish2_PondTime,16.25
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,154
Pond7Fish2_TimeLeft,1041.966
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.766
Pond7Fish3_PondTime,24.066
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,165
Pond7Fish3_TimeLeft,1034.15
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.108
Pond7Fish4_PondTime,32.433
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,176
Pond7Fish4_TimeLeft,1025.783
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.93
Pond7Fish5_PondTime,41.466
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,187
Pond7Fish5_TimeLeft,1016.75
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.876
Pond7Fish6_PondTime,51.333
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,198
Pond7Fish6_TimeLeft,1006.883
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,0.598
PondTime,62.114
TimeLeft,995.598
PondOutcome,66
TotalOutcome,198
PondStart,PondStart
PondIntroTime,12.295473446138203
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.702
Pond6Fish1_PondTime,9.576
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,210
Pond6Fish1_TimeLeft,971.08
Type,RD
