,5d2926ffb798d8001a81e971
FishN,18
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.401
Pond1Fish8_PondTime,69.476
Pond1Fish8_PondOutcome,55
Pond1Fish8_TotalOutcome,131
Pond1Fish8_TimeLeft,1028.475
Type,N
FishN,18
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.296
Pond1Fish9_PondTime,81.845
Pond1Fish9_PondOutcome,66
Pond1Fish9_TotalOutcome,142
Pond1Fish9_TimeLeft,1016.107
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,3.037
PondTime,84.378
TimeLeft,1013.066
PondOutcome,66
TotalOutcome,142
PondStart,PondStart
PondIntroTime,17.78038216754794
Type,N
FishN,18
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.145
Pond12Fish1_PondTime,8.664
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,153
Pond12Fish1_TimeLeft,985.902
Type,N
FishN,18
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.232
Pond12Fish2_PondTime,15.737
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,164
Pond12Fish2_TimeLeft,978.83
Type,N
FishN,18
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.225
Pond12Fish3_PondTime,23.097
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,175
Pond12Fish3_TimeLeft,971.47
Type,N
FishN,18
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.801
Pond12Fish4_PondTime,31.089
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,186
Pond12Fish4_TimeLeft,963.478
Type,N
FishN,18
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.445
Pond12Fish5_PondTime,39.464
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,197
Pond12Fish5_TimeLeft,955.103
Type,N
FishN,18
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.102
Pond12Fish6_PondTime,48.566
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,208
Pond12Fish6_TimeLeft,946.001
Type,N
FishN,18
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.987
Pond12Fish7_PondTime,58.445
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,219
Pond12Fish7_TimeLeft,936.122
Type,N
FishN,18
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.275
Pond12Fish8_PondTime,69.469
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,230
Pond12Fish8_TimeLeft,925.098
Type,N
FishN,18
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.327
Pond12Fish9_PondTime,81.845
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,241
Pond12Fish9_TimeLeft,912.721
Type,N
FishN,18
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.38
Pond12Fish10_PondTime,96.247
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,252
Pond12Fish10_TimeLeft,898.32
Type,N
FishN,18
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,12
