,5bdd7b8eab164500016355ef
Pond12Fish2_PondTime,17.136
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,798
Pond12Fish2_TimeLeft,187.687
Type,N
FishN,18
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.674
Pond12Fish3_PondTime,25.518
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,809
Pond12Fish3_TimeLeft,179.305
Type,N
FishN,18
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,0.871
Pond12Fish4_PondTime,34.575
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,820
Pond12Fish4_TimeLeft,170.248
PondEnd_LastFish,4
FishN,13
Type,N
GiveUpTime,0.471
PondTime,43.884
TimeLeft,160.436
PondOutcome,44
TotalOutcome,820
PondStart,PondStart
PondIntroTime,19.279342675581574
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.815
Pond5Fish1_PondTime,7.834
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,830
Pond5Fish1_TimeLeft,132.697
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.936
Pond5Fish2_PondTime,13.967
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,840
Pond5Fish2_TimeLeft,126.563
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.727
Pond5Fish3_PondTime,20.36
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,850
Pond5Fish3_TimeLeft,120.171
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.967
Pond5Fish4_PondTime,27.039
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,860
Pond5Fish4_TimeLeft,113.492
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.792
Pond5Fish5_PondTime,34.049
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,870
Pond5Fish5_TimeLeft,106.482
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.562
Pond5Fish6_PondTime,41.412
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,890
Pond5Fish6_TimeLeft,99.119
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.896
Pond5Fish7_PondTime,49.248
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,900
Pond5Fish7_TimeLeft,91.283
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.651
Pond5Fish8_PondTime,57.635
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,910
Pond5Fish8_TimeLeft,82.896
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.722
Pond5Fish9_PondTime,66.681
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,920
Pond5Fish9_TimeLeft,73.85
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,0.816
Pond5Fish10_PondTime,76.569
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,930
Pond5Fish10_TimeLeft,63.962
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,0.856
Pond5Fish11_PondTime,87.526
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,940
Pond5Fish11_TimeLeft,53.005
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,0.653
PondTime,99.469
TimeLeft,40.56
PondOutcome,120
TotalOutcome,940
PondStart,PondStart
PondIntroTime,18.796297216322273
Type,RT
FishN,15
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.79
Pond9Fish1_PondTime,9.761
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,950
Pond9Fish1_TimeLeft,11.375
Type,RT
FishN,15
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.974
Pond9Fish2_PondTime,18.152
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,960
Pond9Fish2_TimeLeft,2.984
