,566feba6b937e400052d33b2
Pond5Fish9_TimeLeft,226.88
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.311
Pond5Fish10_PondTime,121.728
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,904
Pond5Fish10_TimeLeft,204.512
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,1.362
PondTime,122.602
TimeLeft,203.137
PondOutcome,110
TotalOutcome,904
PondStart,PondStart
PondIntroTime,11.726322087924927
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.074
Pond4Fish1_PondTime,9.73
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,915
Pond4Fish1_TimeLeft,181.062
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.013
Pond4Fish2_PondTime,18.089
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,926
Pond4Fish2_TimeLeft,172.704
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.155
Pond4Fish3_PondTime,27.116
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,937
Pond4Fish3_TimeLeft,163.677
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.789
Pond4Fish4_PondTime,36.976
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,948
Pond4Fish4_TimeLeft,153.817
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.042
Pond4Fish5_PondTime,47.916
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,959
Pond4Fish5_TimeLeft,142.877
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.079
Pond4Fish6_PondTime,60.274
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,970
Pond4Fish6_TimeLeft,130.519
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,0.845
Pond4Fish7_PondTime,74.628
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,981
Pond4Fish7_TimeLeft,116.165
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.567
Pond4Fish8_PondTime,92
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,992
Pond4Fish8_TimeLeft,98.793
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.301
Pond4Fish9_PondTime,114.365
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,1003
Pond4Fish9_TimeLeft,76.428
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,1.304
PondTime,115.182
TimeLeft,75.109
PondOutcome,99
TotalOutcome,1003
PondStart,PondStart
PondIntroTime,17.16600284446031
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.959
Pond6Fish1_PondTime,9.28
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,1015
Pond6Fish1_TimeLeft,48.048
Type,RD
FishN,15
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.973
Pond6Fish2_PondTime,17.37
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,1027
Pond6Fish2_TimeLeft,39.957
Type,RD
FishN,15
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.576
Pond6Fish3_PondTime,25.733
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,1039
Pond6Fish3_TimeLeft,31.595
Type,RD
FishN,15
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.862
Pond6Fish4_PondTime,34.76
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,1051
Pond6Fish4_TimeLeft,22.568
Type,RD
FishN,15
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.908
Pond6Fish5_PondTime,44.636
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1063
Pond6Fish5_TimeLeft,12.692
