,566feba6b937e400052d33b2
FishN,12
Fish,6
Pond7Fish6_FishType,gray
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,45.53
Pond7Fish6_PondOutcome,40
Pond7Fish6_TotalOutcome,150
Pond7Fish6_TimeLeft,1060.151
Type,RD
FishN,12
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,1.289
Pond7Fish7_PondTime,54.56
Pond7Fish7_PondOutcome,52
Pond7Fish7_TotalOutcome,162
Pond7Fish7_TimeLeft,1051.121
Type,RD
FishN,12
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.193
Pond7Fish8_PondTime,64.42
Pond7Fish8_PondOutcome,54
Pond7Fish8_TotalOutcome,164
Pond7Fish8_TimeLeft,1041.261
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,3.439
PondTime,67.254
TimeLeft,1037.926
PondOutcome,54
TotalOutcome,164
PondStart,PondStart
PondIntroTime,12.185427432414144
Type,N
FishN,14
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.697
Pond10Fish1_PondTime,7.627
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,175
Pond10Fish1_TimeLeft,1017.483
Type,N
FishN,14
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.367
Pond10Fish2_PondTime,13.526
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,186
Pond10Fish2_TimeLeft,1011.584
Type,N
FishN,14
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.979
Pond10Fish3_PondTime,19.637
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,197
Pond10Fish3_TimeLeft,1005.473
Type,N
FishN,14
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.194
Pond10Fish4_PondTime,25.998
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,208
Pond10Fish4_TimeLeft,999.112
Type,N
FishN,14
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.386
Pond10Fish5_PondTime,32.643
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,219
Pond10Fish5_TimeLeft,992.467
Type,N
FishN,14
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.359
Pond10Fish6_PondTime,39.623
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,230
Pond10Fish6_TimeLeft,985.487
Type,N
FishN,14
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.033
Pond10Fish7_PondTime,46.985
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,241
Pond10Fish7_TimeLeft,978.125
Type,N
FishN,14
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.47
Pond10Fish8_PondTime,54.793
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,252
Pond10Fish8_TimeLeft,970.317
Type,N
FishN,14
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.434
Pond10Fish9_PondTime,63.155
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,263
Pond10Fish9_TimeLeft,961.955
Type,N
FishN,14
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.312
Pond10Fish10_PondTime,72.18
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,274
Pond10Fish10_TimeLeft,952.93
Type,N
FishN,14
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.009
Pond10Fish11_PondTime,82.038
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,285
Pond10Fish11_TimeLeft,943.071
Type,N
FishN,14
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.057
Pond10Fish12_PondTime,92.965
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,296
Pond10Fish12_TimeLeft,932.145
Type,N
FishN,14
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,1.209
Pond10Fish13_PondTime,105.321
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,307
Pond10Fish13_TimeLeft,919.789
Type,N
FishN,14
Fish,14
Pond10Fish14_FishType,green
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,1.301
Pond10Fish14_PondTime,119.678
Pond10Fish14_PondOutcome,154
Pond10Fish14_TotalOutcome,318
Pond10Fish14_TimeLeft,905.432
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,15.503
PondTime,134.694
TimeLeft,889.915
PondOutcome,154
TotalOutcome,318
PondStart,PondStart
PondIntroTime,19.529401063919067
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.17
Pond3Fish1_PondTime,9.28
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,328
Pond3Fish1_TimeLeft,860.498
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.847
Pond3Fish2_PondTime,17.238
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,338
Pond3Fish2_TimeLeft,852.541
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.068
Pond3Fish3_PondTime,25.6
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,348
Pond3Fish3_TimeLeft,844.179
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.953
Pond3Fish4_PondTime,34.626
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,358
Pond3Fish4_TimeLeft,835.153
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.944
Pond3Fish5_PondTime,44.488
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,368
Pond3Fish5_TimeLeft,825.291
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.949
Pond3Fish6_PondTime,55.427
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,378
Pond3Fish6_TimeLeft,814.352
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.982
Pond3Fish7_PondTime,67.785
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,388
Pond3Fish7_TimeLeft,801.994
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.1
Pond3Fish8_PondTime,82.141
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,398
Pond3Fish8_TimeLeft,787.638
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.464
Pond3Fish9_PondTime,99.512
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,408
Pond3Fish9_TimeLeft,770.267
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,15
Pond3Fish10_CatchTime,1.526
Pond3Fish10_PondTime,121.879
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,418
Pond3Fish10_TimeLeft,747.9
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,0.94
PondTime,122.546
TimeLeft,746.731
PondOutcome,100
TotalOutcome,418
PondStart,PondStart
PondIntroTime,12.38107559736818
Type,RD
FishN,18
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.014
Pond2Fish1_PondTime,7.799
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,430
Pond2Fish1_TimeLeft,725.933
Type,RD
FishN,18
Fish,2
