,5dc2e7b7e4f0ff203937fa12
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,160
Pond11Fish4_TimeLeft,1037.889
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,golden
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.038
Pond11Fish5_PondTime,48.118
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,180
Pond11Fish5_TimeLeft,1026.954
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.435
Pond11Fish6_PondTime,60.484
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,190
Pond11Fish6_TimeLeft,1014.588
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.138
Pond11Fish7_PondTime,74.852
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,200
Pond11Fish7_TimeLeft,1000.22
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.181
Pond11Fish8_PondTime,92.218
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,210
Pond11Fish8_TimeLeft,982.854
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,1.303
Pond11Fish9_PondTime,114.585
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,220
Pond11Fish9_TimeLeft,960.487
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,20
Pond11Fish10_CatchTime,-1
Pond11Fish10_PondTime,147.018
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,220
Pond11Fish10_TimeLeft,928.054
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,30
Pond11Fish11_CatchTime,1.428
Pond11Fish11_PondTime,209.388
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,230
Pond11Fish11_TimeLeft,865.684
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,60
Pond11Fish12_CatchTime,1.145
Pond11Fish12_PondTime,211.753
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,240
Pond11Fish12_TimeLeft,863.319
PondEnd_LastFish,12
FishN,12
Type,RT
GiveUpTime,42.104
PondTime,253.205
TimeLeft,821.364
PondOutcome,120
TotalOutcome,240
PondStart,PondStart
PondIntroTime,13.45794141991064
Type,RD
FishN,14
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.947
Pond10Fish1_PondTime,9.733
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,252
Pond10Fish1_TimeLeft,797.386
Type,RD
FishN,14
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.916
Pond10Fish2_PondTime,18.102
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,264
Pond10Fish2_TimeLeft,789.017
Type,RD
FishN,14
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.243
Pond10Fish3_PondTime,27.134
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,276
Pond10Fish3_TimeLeft,779.985
Type,RD
FishN,14
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.77
Pond10Fish4_PondTime,37.002
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,288
Pond10Fish4_TimeLeft,770.117
Type,RD
FishN,14
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.876
Pond10Fish5_PondTime,47.935
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,300
Pond10Fish5_TimeLeft,759.184
Type,RD
FishN,14
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.112
Pond10Fish6_PondTime,60.302
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,312
Pond10Fish6_TimeLeft,746.817
Type,RD
FishN,14
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.179
Pond10Fish7_PondTime,74.668
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,324
Pond10Fish7_TimeLeft,732.451
Type,RD
FishN,14
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.236
Pond10Fish8_PondTime,92.035
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,336
Pond10Fish8_TimeLeft,715.084
Type,RD
FishN,14
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.015
Pond10Fish9_PondTime,114.402
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,348
Pond10Fish9_TimeLeft,692.717
Type,RD
FishN,14
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,20
Pond10Fish10_CatchTime,1.194
Pond10Fish10_PondTime,146.77
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,360
Pond10Fish10_TimeLeft,660.349
Type,RD
FishN,14
Fish,11
Pond10Fish11_FishType,gray
Pond10Fish11_FishLatency,30
Pond10Fish11_CatchTime,1.766
Pond10Fish11_PondTime,209.205
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,362
Pond10Fish11_TimeLeft,597.914
Type,RD
FishN,14
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,60
Pond10Fish12_CatchTime,-1
Pond10Fish12_PondTime,211.636
Pond10Fish12_PondOutcome,122
Pond10Fish12_TotalOutcome,362
Pond10Fish12_TimeLeft,595.483
PondEnd_LastFish,12
FishN,12
Type,RD
GiveUpTime,26.888
PondTime,235.99
TimeLeft,570.626
PondOutcome,122
TotalOutcome,362
PondStart,PondStart
PondIntroTime,10.789978795219213
Type,RD
FishN,15
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.228
Pond9Fish1_PondTime,8.035
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,374
Pond9Fish1_TimeLeft,551.179
Type,RD
FishN,15
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.21
Pond9Fish2_PondTime,14.401
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,386
Pond9Fish2_TimeLeft,544.812
Type,RD
FishN,15
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.984
Pond9Fish3_PondTime,21.052
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,398
Pond9Fish3_TimeLeft,538.162
Type,RD
FishN,15
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.394
Pond9Fish4_PondTime,28.033
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,410
Pond9Fish4_TimeLeft,531.181
Type,RD
FishN,15
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.881
Pond9Fish5_PondTime,35.402
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,422
Pond9Fish5_TimeLeft,523.812
Type,RD
FishN,15
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.133
Pond9Fish6_PondTime,43.219
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,434
Pond9Fish6_TimeLeft,515.995
Type,RD
FishN,15
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.075
Pond9Fish7_PondTime,51.585
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,446
Pond9Fish7_TimeLeft,507.629
Type,RD
FishN,15
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.909
Pond9Fish8_PondTime,60.619
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,458
Pond9Fish8_TimeLeft,498.595
Type,RD
FishN,15
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.138
Pond9Fish9_PondTime,70.486
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,470
Pond9Fish9_TimeLeft,488.728
Type,RD
FishN,15
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.494
Pond9Fish10_PondTime,81.418
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,482
Pond9Fish10_TimeLeft,477.796
Type,RD
FishN,15
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.212
Pond9Fish11_PondTime,93.787
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,494
Pond9Fish11_TimeLeft,465.427
Type,RD
FishN,15
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.871
Pond9Fish12_PondTime,108.154
Pond9Fish12_PondOutcome,144
Pond9Fish12_TotalOutcome,506
Pond9Fish12_TimeLeft,451.06
Type,RD
FishN,15
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,0.926
Pond9Fish13_PondTime,125.521
Pond9Fish13_PondOutcome,156
Pond9Fish13_TotalOutcome,518
Pond9Fish13_TimeLeft,433.693
Type,RD
FishN,15
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,1.781
Pond9Fish14_PondTime,147.97
Pond9Fish14_PondOutcome,168
Pond9Fish14_TotalOutcome,530
Pond9Fish14_TimeLeft,411.244
Type,RD
FishN,15
Fish,15
Pond9Fish15_FishType,blue
Pond9Fish15_FishLatency,20
Pond9Fish15_CatchTime,1.144
Pond9Fish15_PondTime,180.337
Pond9Fish15_PondOutcome,180
Pond9Fish15_TotalOutcome,542
Pond9Fish15_TimeLeft,378.877
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,58.038
PondTime,237.722
TimeLeft,320.989
PondOutcome,180
TotalOutcome,542
PondStart,PondStart
PondIntroTime,11.5225794701837
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.208
Pond6Fish1_PondTime,8.265
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,554
Pond6Fish1_TimeLeft,300.56
Type,RD
FishN,15
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.971
Pond6Fish2_PondTime,14.917
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,566
Pond6Fish2_TimeLeft,293.908
Type,RD
FishN,15
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.311
Pond6Fish3_PondTime,21.9
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,578
Pond6Fish3_TimeLeft,286.925
Type,RD
FishN,15
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,2.038
Pond6Fish4_PondTime,29.333
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,590
Pond6Fish4_TimeLeft,279.492
Type,RD
FishN,15
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.751
Pond6Fish5_PondTime,37.151
