,5d9202439796b3001772abb1
FishN,18
Fish,1
Pond3Fish1_FishType,gray
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.826
Pond3Fish1_PondTime,9.726
Pond3Fish1_PondOutcome,2
Pond3Fish1_TotalOutcome,172
Pond3Fish1_TimeLeft,997.573
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.933
Pond3Fish2_PondTime,18.085
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,184
Pond3Fish2_TimeLeft,989.214
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.119
Pond3Fish3_PondTime,27.106
Pond3Fish3_PondOutcome,16
Pond3Fish3_TotalOutcome,186
Pond3Fish3_TimeLeft,980.193
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.596
Pond3Fish4_PondTime,36.96
Pond3Fish4_PondOutcome,28
Pond3Fish4_TotalOutcome,198
Pond3Fish4_TimeLeft,970.339
PondEnd_LastFish,4
FishN,12
Type,RD
GiveUpTime,1.308
PondTime,37.063
TimeLeft,969.734
PondOutcome,28
TotalOutcome,198
PondStart,PondStart
PondIntroTime,12.136867241933942
Type,RT
FishN,18
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.843
Pond12Fish1_PondTime,8.887
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,208
Pond12Fish1_TimeLeft,948.102
Type,RT
FishN,18
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.871
Pond12Fish2_PondTime,16.246
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,218
Pond12Fish2_TimeLeft,940.743
Type,RT
FishN,18
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.774
Pond12Fish3_PondTime,24.06
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,228
Pond12Fish3_TimeLeft,932.929
Type,RT
FishN,18
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.843
Pond12Fish4_PondTime,32.421
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,238
Pond12Fish4_TimeLeft,924.568
Type,RT
FishN,18
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.645
Pond12Fish5_PondTime,41.44
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,248
Pond12Fish5_TimeLeft,915.549
Type,RT
FishN,18
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,0.661
Pond12Fish6_PondTime,51.295
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,258
Pond12Fish6_TimeLeft,905.694
Type,RT
FishN,18
