,5d1005df9b7ef700184e458d
Pond7Fish11_PondTime,102.055
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,905
Pond7Fish11_TimeLeft,110.333
Type,RD
FishN,12
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,0.905
Pond7Fish12_PondTime,119.434
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,917
Pond7Fish12_TimeLeft,92.953
Type,RD
FishN,12
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,15
Pond7Fish13_CatchTime,0.887
Pond7Fish13_PondTime,141.813
Pond7Fish13_PondOutcome,146
Pond7Fish13_TotalOutcome,929
Pond7Fish13_TimeLeft,70.575
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,18.929
PondTime,159.841
TimeLeft,52.043
PondOutcome,146
TotalOutcome,929
PondStart,PondStart
PondIntroTime,10.910118576139212
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.955
Pond1Fish1_PondTime,8.034
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,940
Pond1Fish1_TimeLeft,32.472
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,1.021
Pond1Fish2_PondTime,14.406
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,951
Pond1Fish2_TimeLeft,26.1
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.746
Pond1Fish3_PondTime,21.056
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,962
Pond1Fish3_TimeLeft,19.45
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.886
Pond1Fish4_PondTime,28.041
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,973
Pond1Fish4_TimeLeft,12.465
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.816
Pond1Fish5_PondTime,35.41
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,984
Pond1Fish5_TimeLeft,5.096
