,5db06225c624b50016c804a0
PlayerDetails,5db06225c624b50016c804a0
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,19
Pond3_Type,RT
Pond3_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,17
Pond1_Type,RT
Pond1_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,18
Pond11_Type,RD
Pond11_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:31:35 GMT+0100 (Central European Standard Time)
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.966
Pond5Fish1_PondTime,8.617
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,10
Pond5Fish1_TimeLeft,1193.773
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.903
Pond5Fish2_PondTime,15.648
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,20
Pond5Fish2_TimeLeft,1186.742
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.069
Pond5Fish3_PondTime,23.079
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,30
Pond5Fish3_TimeLeft,1179.311
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.116
Pond5Fish4_PondTime,30.96
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,40
Pond5Fish4_TimeLeft,1171.429
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,1.092
Pond5Fish5_PondTime,39.391
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,50
Pond5Fish5_TimeLeft,1162.999
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.919
Pond5Fish6_PondTime,48.49
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,60
Pond5Fish6_TimeLeft,1153.9
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,1.135
Pond5Fish7_PondTime,58.404
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,70
Pond5Fish7_TimeLeft,1143.986
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.18
Pond5Fish8_PondTime,69.4
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,80
Pond5Fish8_TimeLeft,1132.99
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.048
Pond5Fish9_PondTime,81.817
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,100
Pond5Fish9_TimeLeft,1120.573
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,0.935
Pond5Fish10_PondTime,96.21
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,110
Pond5Fish10_TimeLeft,1106.18
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,1.067
Pond5Fish11_PondTime,113.639
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,120
Pond5Fish11_TimeLeft,1088.751
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,15
Pond5Fish12_CatchTime,1.159
Pond5Fish12_PondTime,136.036
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,130
Pond5Fish12_TimeLeft,1066.354
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,20
Pond5Fish13_CatchTime,1.343
Pond5Fish13_PondTime,168.452
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,140
Pond5Fish13_TimeLeft,1033.938
PondEnd_LastFish,13
FishN,15
Type,RT
GiveUpTime,0.8
PondTime,168.798
TimeLeft,1033.09
PondOutcome,140
TotalOutcome,140
PondStart,PondStart
PondIntroTime,13.162059101741761
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.201
Pond4Fish1_PondTime,7.653
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,151
Pond4Fish1_TimeLeft,1011.621
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.209
Pond4Fish2_PondTime,13.569
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,162
Pond4Fish2_TimeLeft,1005.705
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.069
Pond4Fish3_PondTime,19.751
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,173
Pond4Fish3_TimeLeft,999.523
Type,N
FishN,19
