,5b0f33dd1e55760001b9a9ce
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,1.451
Pond7Fish5_PondTime,39.114
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,170
Pond7Fish5_TimeLeft,1028.446
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,gray
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,1.874
Pond7Fish6_PondTime,48.33
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,172
Pond7Fish6_TimeLeft,1019.23
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,gray
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.472
Pond7Fish7_PondTime,58.195
Pond7Fish7_PondOutcome,64
Pond7Fish7_TotalOutcome,174
Pond7Fish7_TimeLeft,1009.365
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1.259
Pond7Fish8_PondTime,69.127
Pond7Fish8_PondOutcome,76
Pond7Fish8_TotalOutcome,186
Pond7Fish8_TimeLeft,998.433
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.229
Pond7Fish9_PondTime,81.493
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,198
Pond7Fish9_TimeLeft,986.067
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,1.488
Pond7Fish10_PondTime,95.859
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,210
Pond7Fish10_TimeLeft,971.7
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,1.69
Pond7Fish11_PondTime,113.229
Pond7Fish11_PondOutcome,112
Pond7Fish11_TotalOutcome,222
Pond7Fish11_TimeLeft,954.331
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,2.603
PondTime,115.725
TimeLeft,951.332
PondOutcome,112
TotalOutcome,222
PondStart,PondStart
PondIntroTime,12.354827872477472
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.242
Pond9Fish1_PondTime,9.284
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,232
Pond9Fish1_TimeLeft,929.07
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.528
Pond9Fish2_PondTime,17.1
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,242
Pond9Fish2_TimeLeft,921.254
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,golden
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.099
Pond9Fish3_PondTime,25.465
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,262
Pond9Fish3_TimeLeft,912.889
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.378
Pond9Fish4_PondTime,34.499
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,272
Pond9Fish4_TimeLeft,903.855
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.28
Pond9Fish5_PondTime,44.363
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,282
Pond9Fish5_TimeLeft,893.99
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.179
Pond9Fish6_PondTime,55.297
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,292
Pond9Fish6_TimeLeft,883.057
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.661
Pond9Fish7_PondTime,67.661
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,302
Pond9Fish7_TimeLeft,870.693
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.815
Pond9Fish8_PondTime,82.144
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,312
Pond9Fish8_TimeLeft,856.21
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.613
Pond9Fish9_PondTime,99.511
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,322
