,5a563395e0cf3d0001262ecf
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,-1
Pond1Fish10_PondTime,79.112
Pond1Fish10_PondOutcome,66
Pond1Fish10_TotalOutcome,136
Pond1Fish10_TimeLeft,1035.651
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,-1
Pond1Fish11_PondTime,94.692
Pond1Fish11_PondOutcome,66
Pond1Fish11_TotalOutcome,136
Pond1Fish11_TimeLeft,1020.072
Type,N
FishN,19
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.924
Pond1Fish12_PondTime,108.881
Pond1Fish12_PondOutcome,77
Pond1Fish12_TotalOutcome,147
Pond1Fish12_TimeLeft,1005.883
Type,N
FishN,19
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.944
Pond1Fish13_PondTime,123.252
Pond1Fish13_PondOutcome,88
Pond1Fish13_TotalOutcome,158
Pond1Fish13_TimeLeft,991.512
Type,N
FishN,19
Fish,14
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,1.323
Pond1Fish14_PondTime,140.658
Pond1Fish14_PondOutcome,99
Pond1Fish14_TotalOutcome,169
Pond1Fish14_TimeLeft,974.105
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,19.537
PondTime,159.726
TimeLeft,954.526
PondOutcome,99
TotalOutcome,169
PondStart,PondStart
PondIntroTime,11.221355521120131
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.97
Pond7Fish1_PondTime,8.05
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,180
Pond7Fish1_TimeLeft,934.594
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,14.501
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,180
Pond7Fish2_TimeLeft,928.143
