,5cd7cccadcabe8001d0413ac
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,928
Pond5Fish8_TimeLeft,98.691
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.18
Pond5Fish9_PondTime,99.443
Pond5Fish9_PondOutcome,120
Pond5Fish9_TotalOutcome,948
Pond5Fish9_TimeLeft,81.329
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.061
Pond5Fish10_PondTime,121.797
Pond5Fish10_PondOutcome,130
Pond5Fish10_TotalOutcome,958
Pond5Fish10_TimeLeft,58.975
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,20
Pond5Fish11_CatchTime,1.204
Pond5Fish11_PondTime,154.159
Pond5Fish11_PondOutcome,140
Pond5Fish11_TotalOutcome,968
Pond5Fish11_TimeLeft,26.613
