,5c74379e4bf96800013d2baf
PlayerDetails,5c74379e4bf96800013d2baf
GameCompleted,declined
Selected ponds in the game,=======
Pond11_Type,RT
Pond11_#Fishes,18
Pond5_Type,N
Pond5_#Fishes,16
Pond10_Type,RD
Pond10_#Fishes,19
Pond8_Type,N
Pond8_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:20:48 GMT+0200 (Ida-Euroopa standardaeg)
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.576
Pond11Fish1_PondTime,7.91
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,10
Pond11Fish1_TimeLeft,1194.489
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.584
Pond11Fish2_PondTime,14.028
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,20
Pond11Fish2_TimeLeft,1188.371
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.521
Pond11Fish3_PondTime,20.389
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,30
