,5b684ef482d9db000118fc0a
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.303
Pond6Fish5_PondTime,48.077
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,177
Pond6Fish5_TimeLeft,960.567
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.973
Pond6Fish6_PondTime,60.494
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,188
Pond6Fish6_TimeLeft,948.15
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.167
Pond6Fish7_PondTime,74.911
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,199
Pond6Fish7_TimeLeft,933.733
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.824
Pond6Fish8_PondTime,92.405
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,210
Pond6Fish8_TimeLeft,916.239
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,5.898
PondTime,98.201
TimeLeft,909.937
PondOutcome,88
TotalOutcome,210
PondStart,PondStart
PondIntroTime,14.084757820237428
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,0.81
Pond10Fish1_PondTime,9.275
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,221
Pond10Fish1_TimeLeft,885.955
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.013
Pond10Fish2_PondTime,17.126
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,232
Pond10Fish2_TimeLeft,878.104
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.894
Pond10Fish3_PondTime,25.523
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,243
Pond10Fish3_TimeLeft,869.706
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.778
Pond10Fish4_PondTime,34.58
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,254
Pond10Fish4_TimeLeft,860.65
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.48
Pond10Fish5_PondTime,44.48
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,265
Pond10Fish5_TimeLeft,850.75
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.091
Pond10Fish6_PondTime,55.421
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,276
Pond10Fish6_TimeLeft,839.809
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,1.451
Pond10Fish7_PondTime,67.776
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,287
Pond10Fish7_TimeLeft,827.454
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,1.195
Pond10Fish8_PondTime,82.136
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,298
Pond10Fish8_TimeLeft,813.094
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.21
Pond10Fish9_PondTime,99.538
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,309
Pond10Fish9_TimeLeft,795.692
PondEnd_LastFish,9
FishN,19
Type,N
GiveUpTime,1.235
PondTime,100.184
TimeLeft,794.541
PondOutcome,99
TotalOutcome,309
PondStart,PondStart
PondIntroTime,12.825317992828786
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.075
Pond11Fish1_PondTime,8.022
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,320
Pond11Fish1_TimeLeft,773.073
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.35
Pond11Fish2_PondTime,14.401
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,331
Pond11Fish2_TimeLeft,766.694
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.276
Pond11Fish3_PondTime,21.077
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,342
Pond11Fish3_TimeLeft,760.018
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.963
Pond11Fish4_PondTime,28.052
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,353
Pond11Fish4_TimeLeft,753.043
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.905
Pond11Fish5_PondTime,35.445
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,364
Pond11Fish5_TimeLeft,745.65
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.084
Pond11Fish6_PondTime,43.285
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,375
Pond11Fish6_TimeLeft,737.81
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.02
Pond11Fish7_PondTime,51.691
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,386
Pond11Fish7_TimeLeft,729.404
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.472
Pond11Fish8_PondTime,60.715
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,397
Pond11Fish8_TimeLeft,720.38
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.013
Pond11Fish9_PondTime,70.615
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,408
Pond11Fish9_TimeLeft,710.479
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.036
Pond11Fish10_PondTime,81.589
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,419
Pond11Fish10_TimeLeft,699.506
Type,N
FishN,14
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.126
Pond11Fish11_PondTime,93.945
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,430
Pond11Fish11_TimeLeft,687.15
Type,N
FishN,14
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,10
