,56a0e989b956b300060a43a1
PlayerDetails,56a0e989b956b300060a43a1
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,15
Pond6_Type,N
Pond6_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,19
Pond11_Type,RT
Pond11_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,13
Pond7_Type,RD
Pond7_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,12
Pond8_Type,RD
Pond8_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:14:07 GMT+0200 (Eastern European Standard Time)
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.174
Pond4Fish1_PondTime,8.561
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1193.836
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,15.61
Pond4Fish2_PondOutcome,10
Pond4Fish2_TotalOutcome,10
Pond4Fish2_TimeLeft,1186.787
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.248
Pond4Fish3_PondTime,22.977
Pond4Fish3_PondOutcome,20
Pond4Fish3_TotalOutcome,20
Pond4Fish3_TimeLeft,1179.421
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.267
Pond4Fish4_PondTime,30.827
Pond4Fish4_PondOutcome,30
Pond4Fish4_TotalOutcome,30
Pond4Fish4_TimeLeft,1171.57
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.224
Pond4Fish5_PondTime,39.21
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,40
Pond4Fish5_TimeLeft,1163.188
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.266
Pond4Fish6_PondTime,48.261
Pond4Fish6_PondOutcome,50
Pond4Fish6_TotalOutcome,50
Pond4Fish6_TimeLeft,1154.137
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.547
Pond4Fish7_PondTime,58.157
Pond4Fish7_PondOutcome,60
Pond4Fish7_TotalOutcome,60
Pond4Fish7_TimeLeft,1144.241
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.727
Pond4Fish8_PondTime,69.137
Pond4Fish8_PondOutcome,70
Pond4Fish8_TotalOutcome,70
Pond4Fish8_TimeLeft,1133.261
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,2.395
PondTime,71.431
TimeLeft,1130.459
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,12.554736628662795
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.581
Pond6Fish1_PondTime,8.295
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,81
Pond6Fish1_TimeLeft,1108.979
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,15.012
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,81
Pond6Fish2_TimeLeft,1102.262
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.14
Pond6Fish3_PondTime,21.99
Pond6Fish3_PondOutcome,22
Pond6Fish3_TotalOutcome,92
Pond6Fish3_TimeLeft,1095.284
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,1.107
Pond6Fish4_PondTime,29.379
Pond6Fish4_PondOutcome,33
Pond6Fish4_TotalOutcome,103
Pond6Fish4_TimeLeft,1087.895
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,1.457
Pond6Fish5_PondTime,37.224
Pond6Fish5_PondOutcome,44
Pond6Fish5_TotalOutcome,114
Pond6Fish5_TimeLeft,1080.05
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.226
Pond6Fish6_PondTime,45.605
Pond6Fish6_PondOutcome,55
