,5dc84bb688f2805cb5b23ee5
Pond7Fish9_CatchTime,1.122
Pond7Fish9_PondTime,66.491
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,162
Pond7Fish9_TimeLeft,1042.131
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,1.192
Pond7Fish10_PondTime,76.35
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,172
Pond7Fish10_TimeLeft,1032.272
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.031
Pond7Fish11_PondTime,87.277
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,182
Pond7Fish11_TimeLeft,1021.345
Type,RT
FishN,15
Fish,12
Pond7Fish12_FishType,golden
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.994
Pond7Fish12_PondTime,99.641
Pond7Fish12_PondOutcome,130
Pond7Fish12_TotalOutcome,202
Pond7Fish12_TimeLeft,1008.981
Type,RT
FishN,15
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,1.05
Pond7Fish13_PondTime,114.01
Pond7Fish13_PondOutcome,140
Pond7Fish13_TotalOutcome,212
Pond7Fish13_TimeLeft,994.612
Type,RT
FishN,15
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.206
Pond7Fish14_PondTime,131.372
Pond7Fish14_PondOutcome,150
Pond7Fish14_TotalOutcome,222
Pond7Fish14_TimeLeft,977.25
PondEnd_LastFish,14
FishN,15
Type,RT
GiveUpTime,1.374
PondTime,132.162
TimeLeft,975.958
PondOutcome,150
TotalOutcome,222
PondStart,PondStart
PondIntroTime,16.852628469932824
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.963
Pond12Fish1_PondTime,9.269
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,233
Pond12Fish1_TimeLeft,949.215
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.972
Pond12Fish2_PondTime,17.088
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,244
Pond12Fish2_TimeLeft,941.396
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.054
Pond12Fish3_PondTime,25.459
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,255
Pond12Fish3_TimeLeft,933.025
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.017
Pond12Fish4_PondTime,34.497
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,266
Pond12Fish4_TimeLeft,923.987
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.107
Pond12Fish5_PondTime,44.355
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,277
Pond12Fish5_TimeLeft,914.129
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,0.953
Pond12Fish6_PondTime,55.282
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,288
Pond12Fish6_TimeLeft,903.202
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.09
Pond12Fish7_PondTime,67.644
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,299
Pond12Fish7_TimeLeft,890.84
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.13
Pond12Fish8_PondTime,82.013
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,310
Pond12Fish8_TimeLeft,876.47
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.017
Pond12Fish9_PondTime,99.374
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,321
Pond12Fish9_TimeLeft,859.11
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,1.138
Pond12Fish10_PondTime,121.731
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,332
Pond12Fish10_TimeLeft,836.752
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,1.315
PondTime,122.382
TimeLeft,835.599
PondOutcome,110
TotalOutcome,332
PondStart,PondStart
PondIntroTime,14.867364224046469
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.017
Pond1Fish1_PondTime,8.033
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,342
Pond1Fish1_TimeLeft,812.076
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.806
Pond1Fish2_PondTime,14.4
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,352
Pond1Fish2_TimeLeft,805.709
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.833
Pond1Fish3_PondTime,21.049
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,372
Pond1Fish3_TimeLeft,799.06
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.025
Pond1Fish4_PondTime,28.033
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,382
Pond1Fish4_TimeLeft,792.076
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,1.168
Pond1Fish5_PondTime,35.402
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,392
Pond1Fish5_TimeLeft,784.707
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.939
Pond1Fish6_PondTime,43.22
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,402
Pond1Fish6_TimeLeft,776.889
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,1.047
Pond1Fish7_PondTime,51.591
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,412
Pond1Fish7_TimeLeft,768.518
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.104
Pond1Fish8_PondTime,60.629
Pond1Fish8_PondOutcome,90
