,58c84d506d1c600001a09319
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.545
Pond9Fish3_PondTime,19.602
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,163
Pond9Fish3_TimeLeft,1018.124
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.707
Pond9Fish4_PondTime,25.984
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,174
Pond9Fish4_TimeLeft,1011.741
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.251
Pond9Fish5_PondTime,32.637
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,185
Pond9Fish5_TimeLeft,1005.089
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.627
Pond9Fish6_PondTime,39.619
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,196
Pond9Fish6_TimeLeft,998.107
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.179
Pond9Fish7_PondTime,46.987
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,207
Pond9Fish7_TimeLeft,990.739
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.097
Pond9Fish8_PondTime,54.805
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,218
Pond9Fish8_TimeLeft,982.921
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.834
Pond9Fish9_PondTime,63.172
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,229
Pond9Fish9_TimeLeft,974.554
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.072
Pond9Fish10_PondTime,72.205
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,240
Pond9Fish10_TimeLeft,965.521
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.997
Pond9Fish11_PondTime,82.073
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,251
Pond9Fish11_TimeLeft,955.653
Type,N
FishN,16
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.239
Pond9Fish12_PondTime,93.006
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,262
Pond9Fish12_TimeLeft,944.72
Type,N
FishN,16
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.336
Pond9Fish13_PondTime,105.374
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,273
Pond9Fish13_TimeLeft,932.352
Type,N
FishN,16
Fish,14
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.295
Pond9Fish14_PondTime,119.743
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,284
Pond9Fish14_TimeLeft,917.983
PondEnd_LastFish,14
FishN,16
Type,N
GiveUpTime,0.52
PondTime,136.878
TimeLeft,900.346
PondOutcome,154
TotalOutcome,284
PondStart,PondStart
PondIntroTime,13.63133737584576
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.149
Pond3Fish1_PondTime,8.552
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,304
Pond3Fish1_TimeLeft,877.549
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.197
Pond3Fish2_PondTime,15.536
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,314
Pond3Fish2_TimeLeft,870.565
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.24
Pond3Fish3_PondTime,22.904
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,324
Pond3Fish3_TimeLeft,863.197
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,golden
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.89
Pond3Fish4_PondTime,30.721
Pond3Fish4_PondOutcome,60
Pond3Fish4_TotalOutcome,344
Pond3Fish4_TimeLeft,855.38
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.019
Pond3Fish5_PondTime,39.088
Pond3Fish5_PondOutcome,80
Pond3Fish5_TotalOutcome,364
Pond3Fish5_TimeLeft,847.013
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
