,58c84d506d1c600001a09319
Pond11Fish7_TotalOutcome,917
Pond11Fish7_TimeLeft,180.556
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.903
Pond11Fish8_PondTime,60.604
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,929
Pond11Fish8_TimeLeft,171.523
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.811
Pond11Fish9_PondTime,70.473
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,941
Pond11Fish9_TimeLeft,161.654
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.151
Pond11Fish10_PondTime,81.405
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,953
Pond11Fish10_TimeLeft,150.722
Type,RD
FishN,14
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,0.966
Pond11Fish11_PondTime,93.774
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,965
Pond11Fish11_TimeLeft,138.353
Type,RD
FishN,14
Fish,12
Pond11Fish12_FishType,blue
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,1.006
Pond11Fish12_PondTime,108.141
Pond11Fish12_PondOutcome,144
Pond11Fish12_TotalOutcome,977
Pond11Fish12_TimeLeft,123.986
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,13.865
PondTime,121.22
TimeLeft,110.405
PondOutcome,144
TotalOutcome,977
PondStart,PondStart
PondIntroTime,12.576020557899028
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.867
Pond7Fish1_PondTime,8.202
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,988
Pond7Fish1_TimeLeft,89.017
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.19
Pond7Fish2_PondTime,14.568
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,999
Pond7Fish2_TimeLeft,82.651
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.484
Pond7Fish3_PondTime,21.219
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,1010
Pond7Fish3_TimeLeft,76
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,2.018
Pond7Fish4_PondTime,28.268
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,1021
Pond7Fish4_TimeLeft,68.951
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.008
Pond7Fish5_PondTime,35.637
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,1032
Pond7Fish5_TimeLeft,61.582
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.268
Pond7Fish6_PondTime,43.455
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,1043
Pond7Fish6_TimeLeft,53.764
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.017
Pond7Fish7_PondTime,51.823
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,1054
Pond7Fish7_TimeLeft,45.396
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.145
Pond7Fish8_PondTime,60.855
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,1065
Pond7Fish8_TimeLeft,36.364
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.975
Pond7Fish9_PondTime,70.722
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,1076
Pond7Fish9_TimeLeft,26.496
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,2.063
Pond7Fish10_PondTime,81.721
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,1087
Pond7Fish10_TimeLeft,15.498
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.853
Pond7Fish11_PondTime,94.255
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,1098
Pond7Fish11_TimeLeft,2.964
