,5d49d90c33d42c000129422f
Type,RD
FishN,16
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.272
Pond9Fish11_PondTime,94.34
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,963
Pond9Fish11_TimeLeft,189.05
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,1.298
PondTime,95.103
TimeLeft,187.765
PondOutcome,132
TotalOutcome,963
PondStart,PondStart
PondIntroTime,12.853060434572399
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.413
Pond12Fish1_PondTime,9.793
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,973
Pond12Fish1_TimeLeft,164.478
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.476
Pond12Fish2_PondTime,18.21
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,983
Pond12Fish2_TimeLeft,156.061
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.622
Pond12Fish3_PondTime,27.298
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,993
Pond12Fish3_TimeLeft,146.973
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.542
Pond12Fish4_PondTime,37.188
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,1003
Pond12Fish4_TimeLeft,137.083
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.484
Pond12Fish5_PondTime,48.188
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,1013
Pond12Fish5_TimeLeft,126.083
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,0.877
PondTime,48.728
TimeLeft,125.01
PondOutcome,50
TotalOutcome,1013
PondStart,PondStart
PondIntroTime,18.889639123808593
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.907
Pond6Fish1_PondTime,8.827
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,1024
Pond6Fish1_TimeLeft,96.617
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.63
Pond6Fish2_PondTime,15.873
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,1035
Pond6Fish2_TimeLeft,89.571
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.523
Pond6Fish3_PondTime,23.306
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,1046
Pond6Fish3_TimeLeft,82.138
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.048
Pond6Fish4_PondTime,31.134
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,1057
Pond6Fish4_TimeLeft,74.309
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.298
Pond6Fish5_PondTime,39.554
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,1068
Pond6Fish5_TimeLeft,65.89
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.04
Pond6Fish6_PondTime,48.662
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,1079
Pond6Fish6_TimeLeft,56.782
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.5
Pond6Fish7_PondTime,58.589
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,1090
Pond6Fish7_TimeLeft,46.855
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.349
Pond6Fish8_PondTime,69.594
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,1101
Pond6Fish8_TimeLeft,35.85
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.718
Pond6Fish9_PondTime,82.049
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,1112
Pond6Fish9_TimeLeft,23.394
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,2.013
Pond6Fish10_PondTime,96.509
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,1123
Pond6Fish10_TimeLeft,8.934
