,5c345ebad4f77a0001a91ec0
TimeLeft,1069.936
PondOutcome,77
TotalOutcome,154
PondStart,PondStart
PondIntroTime,11.555911323521286
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.163
Pond7Fish1_PondTime,7.814
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,164
Pond7Fish1_TimeLeft,1049.941
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.987
Pond7Fish2_PondTime,13.944
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,174
Pond7Fish2_TimeLeft,1043.811
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.633
Pond7Fish3_PondTime,20.315
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,184
Pond7Fish3_TimeLeft,1037.44
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.188
Pond7Fish4_PondTime,26.986
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,194
Pond7Fish4_TimeLeft,1030.769
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.057
Pond7Fish5_PondTime,33.983
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,204
Pond7Fish5_TimeLeft,1023.772
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.072
Pond7Fish6_PondTime,41.366
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,214
Pond7Fish6_TimeLeft,1016.389
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.991
Pond7Fish7_PondTime,49.212
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,224
Pond7Fish7_TimeLeft,1008.543
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
