,5c72c2c2bd8e0000017307b3
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.762
Pond10Fish6_PondTime,43.73
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,146
Pond10Fish6_TimeLeft,1011.257
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.585
Pond10Fish7_PondTime,52.093
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,156
Pond10Fish7_TimeLeft,1002.894
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.979
Pond10Fish8_PondTime,61.416
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,166
Pond10Fish8_TimeLeft,993.571
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,-1
Pond10Fish9_PondTime,71.358
Pond10Fish9_PondOutcome,80
Pond10Fish9_TotalOutcome,166
Pond10Fish9_TimeLeft,983.629
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,golden
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.567
Pond10Fish10_PondTime,82.287
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,186
Pond10Fish10_TimeLeft,972.7
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,-1
Pond10Fish11_PondTime,94.724
Pond10Fish11_PondOutcome,100
Pond10Fish11_TotalOutcome,186
Pond10Fish11_TimeLeft,960.262
