,5cfa36435c147c0019d33963
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.315
Pond11Fish7_PondTime,58.082
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,886
Pond11Fish7_TimeLeft,191.227
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,golden
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,0.987
Pond11Fish8_PondTime,69.042
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,906
Pond11Fish8_TimeLeft,180.267
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.104
Pond11Fish9_PondTime,81.454
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,916
Pond11Fish9_TimeLeft,167.855
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.158
Pond11Fish10_PondTime,95.832
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,926
Pond11Fish10_TimeLeft,153.476
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.198
Pond11Fish11_PondTime,113.2
Pond11Fish11_PondOutcome,130
Pond11Fish11_TotalOutcome,936
Pond11Fish11_TimeLeft,136.109
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,15
Pond11Fish12_CatchTime,0.976
Pond11Fish12_PondTime,135.59
Pond11Fish12_PondOutcome,140
Pond11Fish12_TotalOutcome,946
Pond11Fish12_TimeLeft,113.719
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,0.9
PondTime,135.669
TimeLeft,113.138
PondOutcome,140
TotalOutcome,946
PondStart,PondStart
PondIntroTime,10.052932917606086
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.075
Pond10Fish1_PondTime,8.92
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,958
Pond10Fish1_TimeLeft,92.703
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.274
Pond10Fish2_PondTime,16.311
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,970
Pond10Fish2_TimeLeft,85.312
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.19
Pond10Fish3_PondTime,24.157
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,982
Pond10Fish3_TimeLeft,77.466
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.203
Pond10Fish4_PondTime,32.524
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,994
Pond10Fish4_TimeLeft,69.099
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.174
Pond10Fish5_PondTime,41.549
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,1006
Pond10Fish5_TimeLeft,60.074
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.103
Pond10Fish6_PondTime,51.44
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,1018
Pond10Fish6_TimeLeft,50.183
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.242
Pond10Fish7_PondTime,62.401
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,1030
Pond10Fish7_TimeLeft,39.222
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.06
Pond10Fish8_PondTime,74.81
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,1042
Pond10Fish8_TimeLeft,26.813
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.947
Pond10Fish9_PondTime,89.188
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,1054
Pond10Fish9_TimeLeft,12.434
