,5d829551e3b1b6000118eb90
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,0.814
Pond11Fish8_PondTime,92.283
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,166
Pond11Fish8_TimeLeft,1021.974
PondEnd_LastFish,8
FishN,14
Type,RD
GiveUpTime,1.441
PondTime,92.718
TimeLeft,1021.026
PondOutcome,86
TotalOutcome,166
PondStart,PondStart
PondIntroTime,14.479631350841373
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.091
Pond7Fish1_PondTime,7.831
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,176
Pond7Fish1_TimeLeft,998.082
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.854
Pond7Fish2_PondTime,13.988
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,186
Pond7Fish2_TimeLeft,991.925
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.798
Pond7Fish3_PondTime,20.379
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,196
Pond7Fish3_TimeLeft,985.534
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.067
Pond7Fish4_PondTime,27.067
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,206
Pond7Fish4_TimeLeft,978.845
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.026
Pond7Fish5_PondTime,34.083
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,216
Pond7Fish5_TimeLeft,971.829
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.027
Pond7Fish6_PondTime,41.474
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,226
Pond7Fish6_TimeLeft,964.439
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.897
Pond7Fish7_PondTime,49.334
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,236
