,5daccba5ad1260001762c25b
Pond11Fish2_TotalOutcome,132
Pond11Fish2_TimeLeft,1078.44
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.942
Pond11Fish3_PondTime,20.319
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,142
Pond11Fish3_TimeLeft,1072.07
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.252
Pond11Fish4_PondTime,26.967
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,152
Pond11Fish4_TimeLeft,1065.421
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.074
Pond11Fish5_PondTime,33.955
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,162
Pond11Fish5_TimeLeft,1058.434
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.272
Pond11Fish6_PondTime,41.321
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,172
Pond11Fish6_TimeLeft,1051.068
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,1.54
PondTime,42.337
TimeLeft,1049.549
PondOutcome,70
TotalOutcome,172
PondStart,PondStart
PondIntroTime,11.036621986422688
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.068
Pond6Fish1_PondTime,8.888
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,182
Pond6Fish1_TimeLeft,1028.996
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.973
Pond6Fish2_PondTime,16.265
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,192
Pond6Fish2_TimeLeft,1021.62
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.962
Pond6Fish3_PondTime,24.121
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,202
Pond6Fish3_TimeLeft,1013.764
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.012
Pond6Fish4_PondTime,32.527
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,212
Pond6Fish4_TimeLeft,1005.357
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.027
Pond6Fish5_PondTime,41.559
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,222
Pond6Fish5_TimeLeft,996.326
PondEnd_LastFish,5
FishN,19
Type,RT
GiveUpTime,1.343
PondTime,42.13
TimeLeft,995.248
PondOutcome,50
TotalOutcome,222
PondStart,PondStart
PondIntroTime,10.707167708314955
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,0.939
Pond4Fish1_PondTime,7.838
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,234
Pond4Fish1_TimeLeft,976.089
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,gray
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.028
Pond4Fish2_PondTime,13.988
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,236
Pond4Fish2_TimeLeft,969.939
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.166
Pond4Fish3_PondTime,20.369
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,248
Pond4Fish3_TimeLeft,963.558
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.913
Pond4Fish4_PondTime,27.024
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,260
Pond4Fish4_TimeLeft,956.903
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.727
Pond4Fish5_PondTime,34.014
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,272
Pond4Fish5_TimeLeft,949.913
PondEnd_LastFish,5
FishN,16
Type,RD
GiveUpTime,1.219
PondTime,34.161
TimeLeft,949.261
PondOutcome,50
TotalOutcome,272
PondStart,PondStart
PondIntroTime,19.77531844517216
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.941
Pond3Fish1_PondTime,7.637
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,284
Pond3Fish1_TimeLeft,921.228
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.789
Pond3Fish2_PondTime,13.534
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,296
Pond3Fish2_TimeLeft,915.331
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.062
Pond3Fish3_PondTime,19.648
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,308
Pond3Fish3_TimeLeft,909.217
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.855
Pond3Fish4_PondTime,26.021
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,320
Pond3Fish4_TimeLeft,902.844
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.998
Pond3Fish5_PondTime,32.687
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,332
Pond3Fish5_TimeLeft,896.178
PondEnd_LastFish,5
FishN,19
Type,RD
GiveUpTime,0.55
PondTime,39.014
TimeLeft,889.344
PondOutcome,60
TotalOutcome,332
PondStart,PondStart
PondIntroTime,12.514986696187407
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.703
Pond5Fish1_PondTime,7.831
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,342
Pond5Fish1_TimeLeft,868.368
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,14.046
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,342
Pond5Fish2_TimeLeft,862.154
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.9
Pond5Fish3_PondTime,20.449
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,352
Pond5Fish3_TimeLeft,855.75
PondEnd_LastFish,3
FishN,12
Type,RT
GiveUpTime,0.734
PondTime,26.963
TimeLeft,848.731
PondOutcome,20
TotalOutcome,352
PondStart,PondStart
PondIntroTime,14.976041589397937
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.012
Pond8Fish1_PondTime,9.279
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,362
Pond8Fish1_TimeLeft,823.852
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.699
Pond8Fish2_PondTime,17.142
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,372
Pond8Fish2_TimeLeft,815.989
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.322
Pond8Fish3_PondTime,25.556
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,382
Pond8Fish3_TimeLeft,807.575
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.593
Pond8Fish4_PondTime,34.591
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,392
Pond8Fish4_TimeLeft,798.54
PondEnd_LastFish,4
FishN,17
Type,RT
GiveUpTime,0.611
PondTime,35
TimeLeft,797.628
PondOutcome,40
TotalOutcome,392
PondStart,PondStart
PondIntroTime,17.004219249356538
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,0.977
Pond9Fish1_PondTime,8.899
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,404
Pond9Fish1_TimeLeft,771.109
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,0.779
Pond9Fish2_PondTime,16.263
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,416
Pond9Fish2_TimeLeft,763.744
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.827
Pond9Fish3_PondTime,24.132
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,428
Pond9Fish3_TimeLeft,755.876
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,0.915
Pond9Fish4_PondTime,32.497
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,440
Pond9Fish4_TimeLeft,747.511
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.781
Pond9Fish5_PondTime,41.58
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,452
Pond9Fish5_TimeLeft,738.428
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,gray
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.063
Pond9Fish6_PondTime,51.449
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,454
Pond9Fish6_TimeLeft,728.559
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,0.943
Pond9Fish7_PondTime,62.379
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,466
Pond9Fish7_TimeLeft,717.629
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.158
Pond9Fish8_PondTime,74.749
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,478
Pond9Fish8_TimeLeft,705.258
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,0.889
PondTime,74.995
TimeLeft,704.508
PondOutcome,86
TotalOutcome,478
PondStart,PondStart
PondIntroTime,19.076303779147565
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.353
Pond2Fish1_PondTime,8.288
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,488
Pond2Fish1_TimeLeft,676.529
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.6
Pond2Fish2_PondTime,14.962
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,508
Pond2Fish2_TimeLeft,669.856
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.834
Pond2Fish3_PondTime,21.952
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,518
Pond2Fish3_TimeLeft,662.866
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.009
Pond2Fish4_PondTime,29.316
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,528
Pond2Fish4_TimeLeft,655.502
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.042
Pond2Fish5_PondTime,37.155
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,538
Pond2Fish5_TimeLeft,647.663
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.07
Pond2Fish6_PondTime,45.52
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,548
Pond2Fish6_TimeLeft,639.298
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,0.634
PondTime,54.228
TimeLeft,630.081
PondOutcome,70
TotalOutcome,548
PondStart,PondStart
PondIntroTime,18.476556548848748
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.778
Pond7Fish1_PondTime,8.305
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,568
Pond7Fish1_TimeLeft,602.675
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.847
Pond7Fish2_PondTime,14.956
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,578
