,5df3e85fdcd3e32d23631191
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.216
Pond3Fish7_PondTime,47.038
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,167
Pond3Fish7_TimeLeft,1041.572
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.121
Pond3Fish8_PondTime,54.856
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,178
Pond3Fish8_TimeLeft,1033.754
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.996
Pond3Fish9_PondTime,63.229
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,189
Pond3Fish9_TimeLeft,1025.381
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.958
Pond3Fish10_PondTime,72.278
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,200
Pond3Fish10_TimeLeft,1016.332
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,8.482
PondTime,79.926
TimeLeft,1008.179
PondOutcome,110
TotalOutcome,200
PondStart,PondStart
PondIntroTime,16.961741568520665
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.965
Pond5Fish1_PondTime,8.078
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,212
Pond5Fish1_TimeLeft,982.511
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.314
Pond5Fish2_PondTime,14.185
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,224
Pond5Fish2_TimeLeft,976.404
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.879
Pond5Fish3_PondTime,20.548
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,236
Pond5Fish3_TimeLeft,970.041
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.883
Pond5Fish4_PondTime,27.225
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,248
Pond5Fish4_TimeLeft,963.363
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.969
Pond5Fish5_PondTime,34.203
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,260
Pond5Fish5_TimeLeft,956.386
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.039
Pond5Fish6_PondTime,41.596
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,272
Pond5Fish6_TimeLeft,948.992
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.04
Pond5Fish7_PondTime,49.415
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,284
Pond5Fish7_TimeLeft,941.174
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.128
Pond5Fish8_PondTime,57.792
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,296
Pond5Fish8_TimeLeft,932.797
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.889
Pond5Fish9_PondTime,66.819
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,308
Pond5Fish9_TimeLeft,923.769
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.05
Pond5Fish10_PondTime,76.687
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,320
Pond5Fish10_TimeLeft,913.902
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,0.906
Pond5Fish11_PondTime,87.618
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,332
Pond5Fish11_TimeLeft,902.971
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,gray
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.146
Pond5Fish12_PondTime,100.003
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,334
Pond5Fish12_TimeLeft,890.586
Type,RD
FishN,12
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.045
Pond5Fish13_PondTime,114.368
Pond5Fish13_PondOutcome,146
Pond5Fish13_TotalOutcome,346
Pond5Fish13_TimeLeft,876.221
Type,RD
FishN,12
Fish,14
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,1.099
Pond5Fish14_PondTime,131.726
Pond5Fish14_PondOutcome,158
Pond5Fish14_TotalOutcome,358
Pond5Fish14_TimeLeft,858.863
PondEnd_LastFish,14
FishN,12
Type,RD
GiveUpTime,0.921
PondTime,131.96
TimeLeft,858.125
PondOutcome,158
TotalOutcome,358
PondStart,PondStart
PondIntroTime,16.03660459863022
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.152
Pond4Fish1_PondTime,9.738
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,368
Pond4Fish1_TimeLeft,831.735
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.867
Pond4Fish2_PondTime,18.111
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,378
Pond4Fish2_TimeLeft,823.362
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.898
Pond4Fish3_PondTime,27.143
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,388
Pond4Fish3_TimeLeft,814.33
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.992
Pond4Fish4_PondTime,37.021
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,398
Pond4Fish4_TimeLeft,804.452
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.87
Pond4Fish5_PondTime,47.959
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,408
Pond4Fish5_TimeLeft,793.514
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,golden
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,0.882
Pond4Fish6_PondTime,60.324
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,428
Pond4Fish6_TimeLeft,781.149
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,0.916
Pond4Fish7_PondTime,74.689
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,438
Pond4Fish7_TimeLeft,766.784
PondEnd_LastFish,7
FishN,16
Type,RT
GiveUpTime,1.101
PondTime,74.916
TimeLeft,766.052
PondOutcome,80
TotalOutcome,438
PondStart,PondStart
PondIntroTime,19.54446694580838
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.936
Pond9Fish1_PondTime,7.609
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,449
Pond9Fish1_TimeLeft,738.281
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.732
Pond9Fish2_PondTime,13.501
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,460
Pond9Fish2_TimeLeft,732.389
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.011
Pond9Fish3_PondTime,19.639
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,471
Pond9Fish3_TimeLeft,726.251
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.82
Pond9Fish4_PondTime,26.004
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,482
Pond9Fish4_TimeLeft,719.886
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.777
Pond9Fish5_PondTime,32.666
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,493
Pond9Fish5_TimeLeft,713.224
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.878
Pond9Fish6_PondTime,39.658
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,504
Pond9Fish6_TimeLeft,706.232
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.962
Pond9Fish7_PondTime,47.021
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,515
Pond9Fish7_TimeLeft,698.869
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.69
Pond9Fish8_PondTime,54.871
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,526
Pond9Fish8_TimeLeft,691.019
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.99
Pond9Fish9_PondTime,63.233
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,537
Pond9Fish9_TimeLeft,682.657
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.957
Pond9Fish10_PondTime,72.259
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,548
