,5dfea42d0db892b3062dd3da
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,0.851
Pond6Fish9_PondTime,63.199
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,158
Pond6Fish9_TimeLeft,1048.802
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,0.713
Pond6Fish10_PondTime,72.223
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,170
Pond6Fish10_TimeLeft,1039.778
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,0.863
Pond6Fish11_PondTime,82.081
Pond6Fish11_PondOutcome,112
Pond6Fish11_TotalOutcome,182
Pond6Fish11_TimeLeft,1029.92
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,gray
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.042
Pond6Fish12_PondTime,93.021
Pond6Fish12_PondOutcome,114
Pond6Fish12_TotalOutcome,184
Pond6Fish12_TimeLeft,1018.98
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,0.869
PondTime,93.138
TimeLeft,1018.361
PondOutcome,114
TotalOutcome,184
PondStart,PondStart
PondIntroTime,15.18100515473634
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.934
Pond7Fish1_PondTime,7.811
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,194
Pond7Fish1_TimeLeft,994.751
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.494
Pond7Fish2_PondTime,13.923
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,204
Pond7Fish2_TimeLeft,988.638
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.797
Pond7Fish3_PondTime,20.284
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,214
Pond7Fish3_TimeLeft,982.278
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.937
Pond7Fish4_PondTime,26.929
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,224
Pond7Fish4_TimeLeft,975.633
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.536
Pond7Fish5_PondTime,33.905
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,234
Pond7Fish5_TimeLeft,968.657
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.912
Pond7Fish6_PondTime,41.265
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,244
Pond7Fish6_TimeLeft,961.297
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.782
Pond7Fish7_PondTime,49.075
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,254
Pond7Fish7_TimeLeft,953.487
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.751
Pond7Fish8_PondTime,57.433
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,264
Pond7Fish8_TimeLeft,945.129
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,golden
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.75
Pond7Fish9_PondTime,66.46
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,284
Pond7Fish9_TimeLeft,936.102
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,golden
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.867
Pond7Fish10_PondTime,76.318
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,304
Pond7Fish10_TimeLeft,926.244
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,0.735
Pond7Fish11_PondTime,87.26
Pond7Fish11_PondOutcome,130
Pond7Fish11_TotalOutcome,314
Pond7Fish11_TimeLeft,915.302
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,0.659
PondTime,99.371
TimeLeft,902.689
PondOutcome,130
TotalOutcome,314
PondStart,PondStart
PondIntroTime,18.44733537407592
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.777
Pond10Fish1_PondTime,8.897
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,324
Pond10Fish1_TimeLeft,874.72
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.656
Pond10Fish2_PondTime,16.255
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,334
Pond10Fish2_TimeLeft,867.362
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.807
Pond10Fish3_PondTime,24.065
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,344
Pond10Fish3_TimeLeft,859.552
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.096
Pond10Fish4_PondTime,32.424
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,354
Pond10Fish4_TimeLeft,851.193
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.045
Pond10Fish5_PondTime,41.452
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,364
Pond10Fish5_TimeLeft,842.165
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.988
Pond10Fish6_PondTime,51.308
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,374
Pond10Fish6_TimeLeft,832.309
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.712
Pond10Fish7_PondTime,62.248
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,384
Pond10Fish7_TimeLeft,821.369
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,0.931
Pond10Fish8_PondTime,74.604
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,394
Pond10Fish8_TimeLeft,809.013
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.761
Pond10Fish9_PondTime,88.974
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,404
Pond10Fish9_TimeLeft,794.643
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,0.609
PondTime,105.866
TimeLeft,777.249
PondOutcome,90
TotalOutcome,404
PondStart,PondStart
PondIntroTime,11.961444783955812
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.903
Pond5Fish1_PondTime,8.277
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,415
Pond5Fish1_TimeLeft,756.393
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.89
Pond5Fish2_PondTime,14.921
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,426
Pond5Fish2_TimeLeft,749.749
Type,N
FishN,12
