,5ddb705139bca1aab0b157d8
Pond12Fish8_TotalOutcome,194
Pond12Fish8_TimeLeft,1045.555
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,0.614
PondTime,88.343
TimeLeft,1031.308
PondOutcome,110
TotalOutcome,194
PondStart,PondStart
PondIntroTime,19.071284579113126
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.747
Pond1Fish1_PondTime,7.609
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,204
Pond1Fish1_TimeLeft,1004.009
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.817
Pond1Fish2_PondTime,13.503
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,214
Pond1Fish2_TimeLeft,998.115
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.93
Pond1Fish3_PondTime,19.615
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,224
Pond1Fish3_TimeLeft,992.003
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.578
Pond1Fish4_PondTime,25.974
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,234
Pond1Fish4_TimeLeft,985.644
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.692
Pond1Fish5_PondTime,32.617
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,244
Pond1Fish5_TimeLeft,979.001
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.868
Pond1Fish6_PondTime,39.591
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,254
Pond1Fish6_TimeLeft,972.027
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.894
Pond1Fish7_PondTime,46.954
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,264
Pond1Fish7_TimeLeft,964.664
Type,RT
FishN,19
Fish,8
