,5ddb705139bca1aab0b157d8
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.076
Pond11Fish6_PondTime,45.432
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,948
Pond11Fish6_TimeLeft,290.317
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.829
Pond11Fish7_PondTime,54.461
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,959
Pond11Fish7_TimeLeft,281.288
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.044
Pond11Fish8_PondTime,64.316
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,970
Pond11Fish8_TimeLeft,271.433
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.978
Pond11Fish9_PondTime,75.254
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,981
Pond11Fish9_TimeLeft,260.495
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,0.902
Pond11Fish10_PondTime,87.618
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,992
Pond11Fish10_TimeLeft,248.131
Type,N
FishN,14
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.054
Pond11Fish11_PondTime,101.981
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,1003
Pond11Fish11_TimeLeft,233.768
Type,N
FishN,14
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,0.779
Pond11Fish12_PondTime,119.347
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,1014
Pond11Fish12_TimeLeft,216.402
PondEnd_LastFish,12
FishN,14
Type,N
GiveUpTime,0.528
PondTime,141.099
TimeLeft,194.148
PondOutcome,132
TotalOutcome,1014
PondStart,PondStart
PondIntroTime,16.59655125811696
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.717
Pond2Fish1_PondTime,9.274
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,1026
Pond2Fish1_TimeLeft,167.644
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.719
Pond2Fish2_PondTime,17.092
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,1038
Pond2Fish2_TimeLeft,159.826
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.728
Pond2Fish3_PondTime,25.453
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,1050
Pond2Fish3_TimeLeft,151.465
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.597
Pond2Fish4_PondTime,34.482
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,1062
Pond2Fish4_TimeLeft,142.436
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.655
Pond2Fish5_PondTime,44.338
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,1074
Pond2Fish5_TimeLeft,132.58
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.547
Pond2Fish6_PondTime,55.274
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,1086
Pond2Fish6_TimeLeft,121.644
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.627
Pond2Fish7_PondTime,67.639
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,1098
Pond2Fish7_TimeLeft,109.279
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.795
Pond2Fish8_PondTime,82.001
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,1110
Pond2Fish8_TimeLeft,94.917
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.859
Pond2Fish9_PondTime,99.368
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,1122
Pond2Fish9_TimeLeft,77.55
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,gray
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,0.614
Pond2Fish10_PondTime,121.733
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,1124
Pond2Fish10_TimeLeft,55.185
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,0.157
PondTime,153.265
TimeLeft,23.152
PondOutcome,110
TotalOutcome,1124
PondStart,PondStart
PondIntroTime,10.840415293350816
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.051
Pond3Fish1_PondTime,7.608
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,1136
Pond3Fish1_TimeLeft,4.09
