,5bf192725431290001de4ba3
Pond10Fish8_TimeLeft,140.547
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.151
Pond10Fish9_PondTime,63.33
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,946
Pond10Fish9_TimeLeft,132.15
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.917
Pond10Fish10_PondTime,72.387
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,957
Pond10Fish10_TimeLeft,123.094
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.083
Pond10Fish11_PondTime,82.254
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,968
Pond10Fish11_TimeLeft,113.227
Type,N
FishN,19
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,0.928
Pond10Fish12_PondTime,93.226
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,979
Pond10Fish12_TimeLeft,102.255
Type,N
FishN,19
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,1.919
Pond10Fish13_PondTime,105.83
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,990
Pond10Fish13_TimeLeft,89.651
Type,N
FishN,19
Fish,14
Pond10Fish14_FishType,green
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,0.926
Pond10Fish14_PondTime,120.227
Pond10Fish14_PondOutcome,154
Pond10Fish14_TotalOutcome,1001
Pond10Fish14_TimeLeft,75.254
Type,N
FishN,19
Fish,15
Pond10Fish15_FishType,green
Pond10Fish15_FishLatency,12
Pond10Fish15_CatchTime,1.234
Pond10Fish15_PondTime,137.633
Pond10Fish15_PondOutcome,165
Pond10Fish15_TotalOutcome,1012
Pond10Fish15_TimeLeft,57.848
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,0.695
PondTime,137.77
TimeLeft,57.206
PondOutcome,165
TotalOutcome,1012
PondStart,PondStart
PondIntroTime,18.969813780859113
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,0.757
Pond9Fish1_PondTime,8.286
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,1022
Pond9Fish1_TimeLeft,29.324
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.152
Pond9Fish2_PondTime,14.969
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,1032
Pond9Fish2_TimeLeft,22.641
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.235
Pond9Fish3_PondTime,21.943
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,1042
Pond9Fish3_TimeLeft,15.667
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.387
Pond9Fish4_PondTime,29.351
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,1052
Pond9Fish4_TimeLeft,8.259
