,5bf192725431290001de4ba3
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.837
Pond3Fish6_PondTime,51.474
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,186
Pond3Fish6_TimeLeft,1057.522
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.2
Pond3Fish7_PondTime,62.431
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,197
Pond3Fish7_TimeLeft,1046.565
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.067
Pond3Fish8_PondTime,74.812
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,208
Pond3Fish8_TimeLeft,1034.184
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,1.106
Pond3Fish9_PondTime,89.18
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,219
Pond3Fish9_TimeLeft,1019.816
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,1.02
Pond3Fish10_PondTime,106.546
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,230
Pond3Fish10_TimeLeft,1002.45
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,1.063
PondTime,106.84
TimeLeft,1001.648
PondOutcome,110
TotalOutcome,230
PondStart,PondStart
PondIntroTime,16.513868933543563
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,gray
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.118
Pond11Fish1_PondTime,9.3
Pond11Fish1_PondOutcome,2
Pond11Fish1_TotalOutcome,232
Pond11Fish1_TimeLeft,975.204
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.14
Pond11Fish2_PondTime,17.127
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,244
Pond11Fish2_TimeLeft,967.377
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.019
Pond11Fish3_PondTime,25.488
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,256
Pond11Fish3_TimeLeft,959.016
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.874
Pond11Fish4_PondTime,34.529
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,268
Pond11Fish4_TimeLeft,949.975
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,0.786
Pond11Fish5_PondTime,44.417
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,280
Pond11Fish5_TimeLeft,940.087
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.28
Pond11Fish6_PondTime,55.345
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,292
Pond11Fish6_TimeLeft,929.159
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.87
Pond11Fish7_PondTime,67.724
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,304
Pond11Fish7_TimeLeft,916.779
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.135
Pond11Fish8_PondTime,82.109
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,316
Pond11Fish8_TimeLeft,902.395
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,0.971
